Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Kobe Bryant,27,LAL,SG,80,80,3277,978,2173,.450,180,518,.347,798,1655,.482,.491,696,819,.850,71,354,425,360,147,30,250,233,2832,0,MVP-4ASNBA1DEF1,bryanko01
2,LeBron James,21,CLE,SF,79,79,3361,875,1823,.480,127,379,.335,748,1444,.518,.515,601,814,.738,75,481,556,521,123,66,260,181,2478,5,MVP-2ASNBA1,jamesle01
3,Allen Iverson,30,PHI,PG,72,72,3103,815,1822,.447,72,223,.323,743,1599,.465,.467,675,829,.814,44,188,232,532,140,10,248,121,2377,0,MVP-10ASNBA3,iversal01
4,Gilbert Arenas,24,WAS,PG,80,80,3384,746,1668,.447,199,540,.369,547,1128,.485,.507,655,799,.820,59,221,280,484,161,25,297,286,2346,0,ASNBA3,arenagi01
5,Dirk Nowitzki,27,DAL,PF,81,81,3089,751,1564,.480,110,271,.406,641,1293,.496,.515,539,598,.901,115,613,728,226,58,83,156,164,2151,0,MVP-3ASNBA1,nowitdi01
6,Carmelo Anthony,21,DEN,SF,80,80,2941,756,1572,.481,37,152,.243,719,1420,.506,.493,573,709,.808,122,272,394,216,88,42,218,229,2122,0,NBA3,anthoca01
7,Paul Pierce,28,BOS,SF,79,79,3084,689,1462,.471,111,314,.354,578,1148,.503,.509,627,812,.772,77,453,530,375,107,34,273,223,2116,1,AS,piercpa01
8,Dwyane Wade,24,MIA,SG,75,75,2892,699,1413,.495,13,76,.171,686,1337,.513,.499,629,803,.783,107,323,430,503,146,58,268,217,2040,2,MVP-6ASNBA2,wadedw01
9,Michael Redd,26,MIL,SG,80,80,3130,682,1516,.450,163,413,.395,519,1103,.471,.504,501,571,.877,78,264,342,229,95,5,170,157,2028,0,,reddmi01
10,Ray Allen,30,SEA,SG,78,78,3022,681,1500,.454,269,653,.412,412,847,.486,.544,324,359,.903,71,261,332,286,105,16,188,151,1955,0,AS,allenra02
11,Elton Brand,26,LAC,PF,79,79,3099,756,1435,.527,1,3,.333,755,1432,.527,.527,440,568,.775,236,554,790,208,81,201,173,227,1953,0,MVP-7DPOY-10ASNBA2,brandel01
12,Vince Carter,29,NJN,SG,79,79,2906,653,1518,.430,125,367,.341,528,1151,.459,.471,480,601,.799,135,327,462,338,94,53,213,235,1911,1,AS,cartevi01
13,Shawn Marion,27,PHO,PF,81,81,3263,716,1365,.525,96,290,.331,620,1075,.577,.560,241,298,.809,249,710,959,143,160,137,125,223,1769,0,MVP-10DPOY-7ASNBA3,mariosh01
14,Jason Richardson,25,GSW,SG,75,75,2877,641,1438,.446,183,477,.384,458,961,.477,.509,276,410,.673,105,333,438,232,97,37,167,206,1741,0,,richaja01
15,Mike Bibby,27,SAC,PG,82,82,3167,597,1382,.432,192,497,.386,405,885,.458,.501,342,403,.849,29,211,240,444,82,10,199,169,1728,0,,bibbymi01
16,Antawn Jamison,29,WAS,SF,82,80,3288,660,1494,.442,147,373,.394,513,1121,.458,.491,217,297,.731,167,598,765,158,90,12,137,189,1684,0,,jamisan01
17,Kevin Garnett,29,MIN,PF,76,76,2957,626,1191,.526,8,30,.267,618,1161,.532,.529,396,489,.810,214,752,966,308,104,107,180,206,1656,0,DPOY-13ASDEF2,garneke01
18,Joe Johnson,24,ATL,SG,82,82,3340,632,1395,.453,128,360,.356,504,1035,.487,.499,261,330,.791,98,237,335,536,103,31,267,187,1653,1,,johnsjo02
19,Pau Gasol,25,MEM,PF,80,80,3135,600,1194,.503,3,12,.250,597,1182,.505,.504,425,617,.689,191,522,713,371,46,153,235,184,1628,1,AS,gasolpa01
20,Richard Hamilton,27,DET,SG,80,80,2825,649,1322,.491,55,120,.458,594,1202,.494,.512,256,303,.845,84,172,256,275,52,16,173,207,1609,0,AS,hamilri01
21,Mike James,30,TOR,PG,79,79,2925,576,1228,.469,169,382,.442,407,846,.481,.538,283,338,.837,45,217,262,460,72,3,206,214,1604,0,,jamesmi01
22,Chris Bosh,21,TOR,C,70,70,2751,549,1087,.505,0,13,.000,549,1074,.511,.505,474,581,.816,204,443,647,181,50,79,157,209,1572,0,AS,boshch01
23,Rashard Lewis,26,SEA,SF,78,77,2876,538,1151,.467,142,370,.384,396,781,.507,.529,350,428,.818,111,279,390,182,102,50,141,191,1568,0,,lewisra02
24,Richard Jefferson,25,NJN,SF,78,78,3059,495,1005,.493,60,188,.319,435,817,.532,.522,471,580,.812,95,439,534,297,59,17,174,193,1521,0,,jefferi01
25,Chris Webber,32,PHI,PF,75,75,2893,617,1422,.434,21,77,.273,596,1345,.443,.441,263,348,.756,184,557,741,256,103,62,182,219,1518,0,,webbech01
26,Ricky Davis,26,2TM,SG,78,78,3207,584,1304,.448,73,242,.302,511,1062,.481,.476,275,345,.797,65,286,351,394,91,17,213,190,1516,0,,davisri01
26,Ricky Davis,26,BOS,SG,42,42,1747,329,709,.464,40,125,.320,289,584,.495,.492,129,164,.787,40,147,187,221,49,9,115,91,827,0,,davisri01
26,Ricky Davis,26,MIN,SF,36,36,1460,255,595,.429,33,117,.282,222,478,.464,.456,146,181,.807,25,139,164,173,42,8,98,99,689,0,,davisri01
27,Tony Parker,23,SAS,PG,80,80,2715,623,1136,.548,11,36,.306,612,1100,.556,.553,253,358,.707,38,223,261,460,83,4,249,161,1510,0,MVP-9AS,parketo01
28,Chauncey Billups,29,DET,PG,81,81,2925,423,1012,.418,184,425,.433,239,587,.407,.509,465,520,.894,41,211,252,699,71,8,170,160,1495,0,MVP-5ASNBA2DEF2,billuch01
29,Steve Nash,31,PHO,PG,79,79,2796,541,1056,.512,150,342,.439,391,714,.548,.583,257,279,.921,47,286,333,826,61,12,276,120,1489,1,MVP-1ASNBA1,nashst01
30,Tim Duncan,29,SAS,PF,80,80,2784,574,1185,.484,2,5,.400,572,1180,.485,.485,335,533,.629,231,650,881,253,70,162,198,219,1485,0,MVP-8DPOY-6ASNBA2DEF2,duncati01
31,Mehmet Okur,26,UTA,PF,82,82,2945,519,1128,.460,80,234,.342,439,894,.491,.496,354,454,.780,211,535,746,194,40,73,163,285,1472,0,,okurme01
32,Al Harrington,25,ATL,PF,76,76,2782,551,1220,.452,66,191,.346,485,1029,.471,.479,243,350,.694,132,391,523,238,85,14,195,301,1411,0,,harrial01
33,Morris Peterson,28,TOR,SG,82,77,3140,478,1096,.436,177,448,.395,301,648,.465,.517,241,294,.820,65,316,381,190,104,15,126,223,1374,0,,petermo01
34,Jason Terry,28,DAL,PG,80,80,2798,516,1099,.470,171,416,.411,345,683,.505,.547,168,210,.800,31,127,158,306,100,27,135,196,1371,0,,terryja01
35,Wally Szczerbiak,28,2TM,SF,72,71,2729,493,1012,.487,102,255,.400,391,757,.517,.538,278,310,.897,77,236,313,213,40,19,136,150,1366,0,,szczewa02
35,Wally Szczerbiak,28,MIN,SF,40,40,1555,292,590,.495,58,143,.406,234,447,.523,.544,163,182,.896,36,154,190,112,21,15,86,90,805,0,,szczewa02
35,Wally Szczerbiak,28,BOS,SF,32,31,1174,201,422,.476,44,112,.393,157,310,.506,.528,115,128,.898,41,82,123,101,19,4,50,60,561,0,,szczewa02
36,Ben Gordon,22,CHI,SG,80,47,2482,486,1152,.422,166,382,.435,320,770,.416,.494,211,268,.787,43,176,219,240,75,5,180,238,1349,0,,gordobe01
37,Sam Cassell,36,LAC,PG,78,75,2653,493,1112,.443,70,190,.368,423,922,.459,.475,289,335,.863,40,247,287,491,74,11,175,225,1345,0,,cassesa01
38,Zach Randolph,24,POR,PF,74,71,2545,536,1229,.436,16,55,.291,520,1174,.443,.443,245,343,.714,193,399,592,144,57,14,165,185,1333,0,,randoza01
39,Stephen Jackson,27,IND,SG,81,81,2910,472,1148,.411,117,339,.345,355,809,.439,.462,268,341,.786,48,264,312,225,104,43,203,195,1329,0,,jacksst02
40,Caron Butler,25,WAS,SF,75,54,2708,494,1086,.455,41,120,.342,453,966,.469,.474,289,332,.870,114,352,466,186,127,18,175,238,1318,0,,butleca01
41,Dwight Howard,20,ORL,PF,82,81,3021,468,881,.531,0,2,.000,468,879,.532,.531,356,598,.595,288,734,1022,125,65,115,217,277,1292,0,,howardw01
42,Peja Stojaković,28,2TM,SF,71,71,2601,445,1018,.437,162,404,.401,283,614,.461,.517,238,260,.915,79,336,415,136,45,10,103,171,1290,0,,stojape01
42,Peja Stojaković,28,SAC,SF,31,31,1147,171,424,.403,71,179,.397,100,245,.408,.487,98,105,.933,34,131,165,68,19,2,51,82,511,0,,stojape01
42,Peja Stojaković,28,IND,SF,40,40,1454,274,594,.461,91,225,.404,183,369,.496,.538,140,155,.903,45,205,250,68,26,8,52,89,779,0,,stojape01
43,Kirk Hinrich,25,CHI,PG,81,81,2955,451,1078,.418,126,341,.370,325,737,.441,.477,256,314,.815,29,259,288,514,94,21,188,251,1284,0,,hinriki01
44,Yao Ming,25,HOU,C,57,57,1949,467,900,.519,0,1,.000,467,899,.519,.519,337,395,.853,148,433,581,85,30,94,147,195,1271,0,ASNBA3,mingya01
