Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
292,Francisco Elson,28,DEN,C,67,11,939,101,216,.468,1,3,.333,100,213,.469,.470,45,79,.570,61,140,201,34,34,41,40,129,248,0,,elsonfr01
293,Tom Gugliotta,35,2TM,PF,47,9,966,99,241,.411,8,26,.308,91,215,.423,.427,33,43,.767,56,135,191,68,41,17,57,104,239,0,,guglito01
293,Tom Gugliotta,35,BOS,PF,20,0,218,11,37,.297,0,0,,11,37,.297,.297,4,6,.667,15,28,43,12,9,4,9,23,26,0,,guglito01
293,Tom Gugliotta,35,ATL,PF,27,9,748,88,204,.431,8,26,.308,80,178,.449,.451,29,37,.784,41,107,148,56,32,13,48,81,213,0,,guglito01
294,Žarko Čabarkapa,23,2TM,PF,40,0,475,86,177,.486,13,36,.361,73,141,.518,.523,53,65,.815,35,67,102,25,10,5,30,59,238,0,,cabarza01
294,Žarko Čabarkapa,23,PHO,PF,3,0,11,4,7,.571,0,0,,4,7,.571,.571,1,1,1.000,2,1,3,0,0,0,0,0,9,0,,cabarza01
294,Žarko Čabarkapa,23,GSW,PF,37,0,464,82,170,.482,13,36,.361,69,134,.515,.521,52,64,.813,33,66,99,25,10,5,30,59,229,0,,cabarza01
295,Allan Houston,33,NYK,SG,20,11,532,85,205,.415,31,80,.388,54,125,.432,.490,36,43,.837,4,19,23,42,8,2,21,40,237,0,,houstal01
296,John Salmons,25,PHI,SG,58,8,993,85,210,.405,31,91,.341,54,119,.454,.479,35,48,.729,12,109,121,114,40,13,51,92,236,0,,salmojo01
297,Dahntay Jones,24,MEM,SG,52,7,649,83,190,.437,23,60,.383,60,130,.462,.497,44,64,.688,11,58,69,21,13,11,29,81,233,0,,jonesda02
298,Brian Skinner,28,2TM,PF,49,23,941,104,205,.507,0,1,.000,104,204,.510,.507,25,70,.357,107,173,280,43,31,49,40,102,233,0,,skinnbr01
298,Brian Skinner,28,PHI,PF,24,0,246,22,57,.386,0,1,.000,22,56,.393,.386,5,17,.294,23,39,62,5,5,6,13,29,49,0,,skinnbr01
