Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Kevin Durant,21,OKC,SF,82,82,3239,794,1668,.476,128,351,.365,666,1317,.506,.514,756,840,.900,105,518,623,231,112,84,271,171,2472,0,MVP-2ASNBA1,duranke01
2,LeBron James,25,CLE,SF,76,76,2966,768,1528,.503,129,387,.333,639,1141,.560,.545,593,773,.767,71,483,554,651,125,77,261,119,2258,4,MVP-1DPOY-4ASNBA1DEF1,jamesle01
3,Dwyane Wade,28,MIA,SG,77,77,2792,719,1511,.476,73,243,.300,646,1268,.509,.500,534,702,.761,107,266,373,501,142,82,252,181,2045,0,MVP-5DPOY-10ASNBA1DEF2,wadedw01
4,Dirk Nowitzki,31,DAL,PF,81,80,3039,720,1496,.481,51,121,.421,669,1375,.487,.498,536,586,.915,80,540,620,218,70,79,149,208,2027,1,MVP-7ASNBA2,nowitdi01
5,Kobe Bryant,31,LAL,SG,73,73,2835,716,1569,.456,99,301,.329,617,1268,.487,.488,439,541,.811,78,313,391,365,113,20,233,187,1970,0,MVP-3DPOY-12ASNBA1DEF1,bryanko01
6,Carmelo Anthony,25,DEN,SF,69,69,2634,688,1502,.458,59,187,.316,629,1315,.478,.478,508,612,.830,152,302,454,222,88,30,209,225,1943,0,MVP-6ASNBA2,anthoca01
7,Amar'e Stoudemire,27,PHO,PF,82,82,2838,704,1264,.557,1,6,.167,703,1258,.559,.557,487,632,.771,230,502,732,82,52,83,213,281,1896,0,MVP-10ASNBA2,stoudam01
8,Zach Randolph,28,MEM,PF,81,81,3051,652,1336,.488,15,52,.288,637,1284,.496,.494,362,465,.778,330,620,950,149,80,34,174,226,1681,0,AS,randoza01
9,Chris Bosh,25,TOR,C,70,70,2526,600,1158,.518,8,22,.364,592,1136,.521,.522,470,590,.797,205,554,759,166,43,68,169,170,1678,0,MVP-12AS,boshch01
10,Stephen Jackson,31,2TM,SG,81,81,3129,600,1418,.423,129,393,.328,471,1025,.460,.469,338,434,.779,78,323,401,300,132,43,259,197,1667,0,MVP-12,jacksst02
10,Stephen Jackson,31,GSW,PF,9,9,300,56,133,.421,11,40,.275,45,93,.484,.462,26,37,.703,6,29,35,42,14,6,26,16,149,0,,jacksst02
10,Stephen Jackson,31,CHA,SG,72,72,2829,544,1285,.423,118,353,.334,426,932,.457,.469,312,397,.786,72,294,366,258,118,37,233,181,1518,0,,jacksst02
11,David Lee,26,NYK,C,81,81,3019,686,1258,.545,0,8,.000,686,1250,.549,.545,268,330,.812,228,721,949,295,85,40,189,257,1640,1,DPOY-17AS,leeda02
12,Monta Ellis,24,GSW,SG,64,64,2647,631,1406,.449,77,228,.338,554,1178,.470,.476,292,388,.753,47,210,257,340,143,25,244,189,1631,0,,ellismo01
13,Joe Johnson,28,ATL,SG,76,76,2886,635,1386,.458,129,350,.369,506,1036,.488,.505,220,269,.818,74,279,353,369,82,5,145,145,1619,0,MVP-12ASNBA3,johnsjo02
14,Derrick Rose,21,CHI,PG,78,78,2871,672,1373,.489,16,60,.267,656,1313,.500,.495,259,338,.766,65,228,293,469,57,27,217,96,1619,0,AS,rosede01
15,Aaron Brooks,25,HOU,PG,82,82,2919,575,1331,.432,209,525,.398,366,806,.454,.511,245,298,.822,54,161,215,434,69,14,232,199,1604,0,MIP-1,brookaa01
16,Rudy Gay,23,MEM,SF,80,80,3175,600,1288,.466,66,202,.327,534,1086,.492,.491,301,400,.753,115,357,472,153,118,64,169,201,1567,0,,gayru01
17,Brook Lopez,21,NJN,C,82,82,3027,563,1129,.499,0,2,.000,563,1127,.500,.499,416,509,.817,270,439,709,187,55,139,204,251,1542,0,,lopezbr01
18,David West,29,NOH,PF,81,81,2949,619,1226,.505,7,27,.259,612,1199,.510,.508,296,342,.865,164,441,605,239,76,60,173,233,1541,0,,westda01
19,Carlos Boozer,28,UTA,PF,78,78,2673,617,1098,.562,0,0,,617,1098,.562,.562,285,384,.742,181,693,874,247,84,36,212,270,1519,0,,boozeca01
