iteration,feature_method,model_type,preprocessor,val_exact,val_within1,test_exact,test_within1,test_overall
53,trend_only,xgb,minmax,0.25925925925925924,0.5308641975308642,0.5555555555555556,0.7962962962962963,0.724074074074074
54,advanced,lgb,minmax,0.06172839506172839,0.2839506172839506,0.42592592592592593,0.6481481481481481,0.5814814814814815
55,stats_only,xgb,minmax,0.024691358024691357,0.06172839506172839,0.05555555555555555,0.14814814814814814,0.12037037037037035
56,advanced,xgb,standard,0.06172839506172839,0.18518518518518517,0.25925925925925924,0.42592592592592593,0.3759259259259259
59,advanced,lgb,standard,0.14814814814814814,0.345679012345679,0.3333333333333333,0.7037037037037037,0.5925925925925926
60,trend_only,lgb,standard,0.04938271604938271,0.2345679012345679,0.5185185185185185,0.7407407407407407,0.674074074074074
62,basic,lgb,robust,0.08641975308641975,0.18518518518518517,0.05555555555555555,0.2777777777777778,0.21111111111111108
63,stats_only,lgb,minmax,0.1728395061728395,0.345679012345679,0.037037037037037035,0.16666666666666666,0.12777777777777777
64,basic,lgb,standard,0.012345679012345678,0.08641975308641975,0.14814814814814814,0.3333333333333333,0.2777777777777778
67,basic,lgb,none,0.037037037037037035,0.08641975308641975,0.037037037037037035,0.24074074074074073,0.1796296296296296
69,basic,lgb,none,0.024691358024691357,0.06172839506172839,0.037037037037037035,0.12962962962962962,0.10185185185185183
70,stats_only,lgb,standard,0.037037037037037035,0.13580246913580246,0.09259259259259259,0.18518518518518517,0.15740740740740738
71,basic,lgb,robust,0.06172839506172839,0.32098765432098764,0.05555555555555555,0.18518518518518517,0.14629629629629629
73,stats_only,xgb,standard,0.037037037037037035,0.07407407407407407,0.05555555555555555,0.18518518518518517,0.14629629629629629
74,stats_only,xgb,standard,0.43209876543209874,0.8641975308641975,0.12962962962962962,0.18518518518518517,0.1685185185185185
76,trend_only,lgb,none,0.09876543209876543,0.2222222222222222,0.5,0.7407407407407407,0.6685185185185184
77,basic,lgb,standard,0.06172839506172839,0.16049382716049382,0.09259259259259259,0.2777777777777778,0.2222222222222222
79,advanced,lgb,robust,0.037037037037037035,0.12345679012345678,0.31481481481481477,0.6851851851851851,0.5740740740740741
81,basic,lgb,standard,0.04938271604938271,0.1111111111111111,0.037037037037037035,0.2222222222222222,0.16666666666666663
82,trend_only,lgb,none,0.14814814814814814,0.37037037037037035,0.5555555555555556,0.7592592592592593,0.6981481481481481
86,stats_only,xgb,minmax,0.06172839506172839,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.1333333333333333
87,stats_only,lgb,standard,0.0,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.15185185185185185
89,stats_only,xgb,none,0.06172839506172839,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.1333333333333333
90,stats_only,xgb,none,0.5061728395061729,0.8271604938271605,0.09259259259259259,0.2037037037037037,0.17037037037037034
93,trend_only,lgb,standard,0.13580246913580246,0.2716049382716049,0.5185185185185185,0.7592592592592593,0.6870370370370369
94,basic,xgb,minmax,0.037037037037037035,0.14814814814814814,0.018518518518518517,0.18518518518518517,0.13518518518518516
95,trend_only,xgb,standard,0.14814814814814814,0.38271604938271603,0.5185185185185185,0.7592592592592593,0.6870370370370369
96,advanced,lgb,none,0.19753086419753085,0.3950617283950617,0.35185185185185186,0.6666666666666666,0.5722222222222222
98,basic,lgb,robust,0.12345679012345678,0.35802469135802467,0.07407407407407407,0.2222222222222222,0.17777777777777776
100,basic,lgb,standard,0.012345679012345678,0.08641975308641975,0.14814814814814814,0.3333333333333333,0.2777777777777778
101,basic,lgb,robust,0.024691358024691357,0.09876543209876543,0.09259259259259259,0.24074074074074073,0.19629629629629627
103,trend_only,lgb,none,0.09876543209876543,0.30864197530864196,0.537037037037037,0.7407407407407407,0.6796296296296296
104,stats_only,lgb,standard,0.25925925925925924,0.5185185185185185,0.07407407407407407,0.14814814814814814,0.1259259259259259
106,stats_only,xgb,standard,0.012345679012345678,0.037037037037037035,0.05555555555555555,0.16666666666666666,0.1333333333333333
107,basic,xgb,standard,0.345679012345679,0.7037037037037037,0.05555555555555555,0.14814814814814814,0.12037037037037035
111,stats_only,lgb,standard,0.07407407407407407,0.20987654320987653,0.09259259259259259,0.24074074074074073,0.19629629629629627
114,trend_only,lgb,none,0.024691358024691357,0.13580246913580246,0.5185185185185185,0.7222222222222222,0.661111111111111
115,trend_only,lgb,standard,0.04938271604938271,0.13580246913580246,0.5,0.7222222222222222,0.6555555555555556
116,stats_only,lgb,minmax,0.037037037037037035,0.12345679012345678,0.07407407407407407,0.2222222222222222,0.17777777777777776
119,advanced,xgb,none,0.14814814814814814,0.4691358024691358,0.2962962962962963,0.5925925925925926,0.5037037037037038
122,advanced,xgb,minmax,0.04938271604938271,0.24691358024691357,0.5925925925925926,0.7777777777777778,0.7222222222222221
123,trend_only,lgb,minmax,0.04938271604938271,0.25925925925925924,0.537037037037037,0.7407407407407407,0.6796296296296296
124,trend_only,lgb,robust,0.012345679012345678,0.06172839506172839,0.5185185185185185,0.7222222222222222,0.6611111111111111
125,advanced,lgb,standard,0.1111111111111111,0.1728395061728395,0.4444444444444444,0.6666666666666666,0.5999999999999999
126,advanced,lgb,minmax,0.09876543209876543,0.19753086419753085,0.37037037037037035,0.7222222222222222,0.6166666666666667
127,basic,lgb,none,0.04938271604938271,0.14814814814814814,0.05555555555555555,0.18518518518518517,0.14629629629629626
129,stats_only,xgb,robust,0.024691358024691357,0.06172839506172839,0.05555555555555555,0.14814814814814814,0.12037037037037035
130,basic,lgb,standard,0.09876543209876543,0.25925925925925924,0.1111111111111111,0.24074074074074073,0.20185185185185184
133,basic,xgb,standard,0.16049382716049382,0.35802469135802467,0.05555555555555555,0.14814814814814814,0.12037037037037035
134,advanced,lgb,robust,0.1111111111111111,0.2839506172839506,0.37037037037037035,0.6851851851851851,0.5907407407407408
138,stats_only,xgb,minmax,0.08641975308641975,0.2222222222222222,0.09259259259259259,0.16666666666666666,0.14444444444444443
140,advanced,xgb,none,0.07407407407407407,0.1728395061728395,0.3333333333333333,0.5555555555555556,0.4888888888888888
142,stats_only,lgb,robust,0.13580246913580246,0.3333333333333333,0.1111111111111111,0.2037037037037037,0.1759259259259259
143,trend_only,lgb,minmax,0.08641975308641975,0.16049382716049382,0.38888888888888884,0.6481481481481481,0.5703703703703703
146,stats_only,xgb,standard,0.13580246913580246,0.2839506172839506,0.09259259259259259,0.2037037037037037,0.17037037037037034
148,advanced,lgb,minmax,0.09876543209876543,0.19753086419753085,0.37037037037037035,0.7222222222222222,0.6166666666666667
151,stats_only,xgb,none,0.5061728395061729,0.8271604938271605,0.09259259259259259,0.2037037037037037,0.17037037037037034
152,trend_only,lgb,none,0.13580246913580246,0.2716049382716049,0.537037037037037,0.7592592592592593,0.6925925925925925
154,stats_only,lgb,none,0.024691358024691357,0.09876543209876543,0.09259259259259259,0.16666666666666666,0.14444444444444443
156,advanced,lgb,standard,0.09876543209876543,0.3333333333333333,0.35185185185185186,0.6851851851851851,0.5851851851851851
157,stats_only,lgb,standard,0.037037037037037035,0.06172839506172839,0.037037037037037035,0.16666666666666666,0.12777777777777777
159,trend_only,xgb,minmax,0.06172839506172839,0.2345679012345679,0.537037037037037,0.7777777777777777,0.7055555555555555
160,basic,xgb,minmax,0.07407407407407407,0.2222222222222222,0.05555555555555555,0.2037037037037037,0.15925925925925924
166,advanced,lgb,standard,0.06172839506172839,0.13580246913580246,0.5185185185185185,0.7407407407407407,0.674074074074074
167,advanced,lgb,robust,0.06172839506172839,0.13580246913580246,0.38888888888888884,0.7037037037037037,0.6092592592592592
168,advanced,lgb,standard,0.14814814814814814,0.49382716049382713,0.38888888888888884,0.7222222222222222,0.6222222222222222
169,trend_only,lgb,minmax,0.07407407407407407,0.18518518518518517,0.4814814814814815,0.7222222222222222,0.6499999999999999
170,basic,xgb,robust,0.16049382716049382,0.35802469135802467,0.05555555555555555,0.14814814814814814,0.12037037037037035
174,basic,xgb,robust,0.06172839506172839,0.1728395061728395,0.05555555555555555,0.18518518518518517,0.14629629629629626
177,stats_only,lgb,minmax,0.345679012345679,0.7037037037037037,0.1111111111111111,0.24074074074074073,0.20185185185185184
179,stats_only,xgb,minmax,0.13580246913580246,0.2839506172839506,0.09259259259259259,0.2037037037037037,0.17037037037037034
181,basic,lgb,robust,0.16049382716049382,0.43209876543209874,0.05555555555555555,0.2222222222222222,0.17222222222222222
187,advanced,lgb,minmax,0.345679012345679,0.7407407407407407,0.37037037037037035,0.6851851851851851,0.5907407407407408
190,advanced,lgb,robust,0.2716049382716049,0.5802469135802469,0.4074074074074074,0.7592592592592593,0.6537037037037037
194,advanced,xgb,none,0.35802469135802467,0.6666666666666666,0.2962962962962963,0.7222222222222222,0.5944444444444443
195,stats_only,lgb,standard,0.024691358024691357,0.08641975308641975,0.07407407407407407,0.14814814814814814,0.1259259259259259
196,advanced,lgb,minmax,0.07407407407407407,0.25925925925925924,0.35185185185185186,0.6296296296296297,0.5462962962962963
197,stats_only,lgb,robust,0.07407407407407407,0.24691358024691357,0.05555555555555555,0.3333333333333333,0.24999999999999997
