Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2004-2005,2005,ORL,3034.0,6679.0,320.0,916.0,2714.0,5763.0,1772.0,2335.0,1038.0,2544.0,3582.0,1583.0,633.0,441.0,1283.0,1937.0,8160.0,0.0,0.4542596197035484,0.3493449781659388,0.4709352767655735,0.7588865096359743,0.47821530169187,36.0,46.0
2004-2005,2005,PHI,2946.0,6736.0,505.0,1453.0,2441.0,5283.0,1731.0,2194.0,909.0,2536.0,3445.0,1710.0,756.0,321.0,1243.0,1878.0,8128.0,1.0,0.4373515439429928,0.3475567790777701,0.4620480787431383,0.7889699179580675,0.4748366983372921,43.0,39.0
2004-2005,2005,PHO,3351.0,7018.0,796.0,2026.0,2555.0,4992.0,1556.0,2080.0,967.0,2652.0,3619.0,1927.0,572.0,453.0,1101.0,1563.0,9054.0,1.0,0.4774864633798803,0.3928923988153998,0.5118189102564102,0.7480769230769231,0.5341977771444856,,
2004-2005,2005,POR,2896.0,6422.0,420.0,1161.0,2476.0,5261.0,1409.0,1944.0,970.0,2404.0,3374.0,1722.0,583.0,544.0,1241.0,1703.0,7621.0,2.0,0.4509498598567424,0.3617571059431524,0.4706329595134005,0.7247942386831275,0.4836499532855808,27.0,55.0
2004-2005,2005,SAC,3203.0,6978.0,522.0,1396.0,2681.0,5582.0,1577.0,2004.0,1023.0,2455.0,3478.0,2005.0,674.0,316.0,1037.0,1685.0,8505.0,5.0,0.4590140441387217,0.3739255014326647,0.4802938015048369,0.7869261477045908,0.4964173115505875,50.0,32.0
2004-2005,2005,SAS,2923.0,6450.0,507.0,1395.0,2416.0,5055.0,1535.0,2120.0,987.0,2489.0,3476.0,1771.0,613.0,543.0,1068.0,1717.0,7888.0,0.0,0.4531782945736434,0.3634408602150538,0.477942631058358,0.7240566037735849,0.4924806201550387,59.0,23.0
2004-2005,2005,SEA,2882.0,6498.0,666.0,1824.0,2216.0,4674.0,1683.0,2131.0,1041.0,2311.0,3352.0,1487.0,553.0,338.0,1039.0,1944.0,8113.0,0.0,0.44352108341028,0.3651315789473684,0.474112109542148,0.7897700610042234,0.4947676208064019,52.0,30.0
2004-2005,2005,TOR,2952.0,6656.0,648.0,1681.0,2304.0,4975.0,1626.0,2101.0,844.0,2444.0,3288.0,1670.0,621.0,317.0,1035.0,1876.0,8178.0,0.0,0.4435096153846153,0.3854848304580607,0.4631155778894472,0.7739171822941456,0.4921875,33.0,49.0
2004-2005,2005,UTA,2828.0,6301.0,250.0,762.0,2578.0,5539.0,1719.0,2272.0,1047.0,2243.0,3290.0,1826.0,541.0,374.0,1225.0,2189.0,7625.0,0.0,0.4488176479923821,0.3280839895013123,0.4654269723776855,0.7566021126760564,0.4686557689255674,26.0,56.0
2004-2005,2005,WAS,2966.0,6794.0,514.0,1498.0,2452.0,5296.0,1795.0,2476.0,1133.0,2374.0,3507.0,1563.0,716.0,347.0,1134.0,1807.0,8241.0,1.0,0.4365616720635855,0.3431241655540721,0.4629909365558912,0.7249596122778675,0.4743891669119812,45.0,37.0
2005-2006,2006,ATL,2946.0,6496.0,424.0,1154.0,2522.0,5342.0,1656.0,2207.0,1069.0,2232.0,3301.0,1625.0,587.0,394.0,1235.0,2054.0,7972.0,1.0,0.4535098522167488,0.3674176776429809,0.4721078247847248,0.750339827820571,0.4861453201970443,26.0,56.0
2005-2006,2006,BOS,2951.0,6322.0,467.0,1290.0,2484.0,5032.0,1664.0,2204.0,813.0,2432.0,3245.0,1716.0,578.0,422.0,1301.0,2033.0,8033.0,1.0,0.4667826637140145,0.362015503875969,0.4936406995230524,0.7549909255898367,0.5037171781081936,33.0,49.0
