Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2008-2009,2009,ATL,2956.0,6451.0,597.0,1633.0,2359.0,4818.0,1537.0,2085.0,870.0,2412.0,3282.0,1657.0,603.0,376.0,1000.0,1610.0,8046.0,1.0,0.4582235312354674,0.3655848132271892,0.4896222498962225,0.7371702637889688,0.5044954270655713,47.0,35.0
2008-2009,2009,BOS,3075.0,6333.0,538.0,1355.0,2537.0,4978.0,1587.0,2075.0,869.0,2586.0,3455.0,1862.0,621.0,387.0,1230.0,1897.0,8275.0,2.0,0.4855518711511132,0.3970479704797048,0.5096424266773805,0.7648192771084338,0.5280277909363651,62.0,20.0
2008-2009,2009,CHA,2866.0,6299.0,490.0,1339.0,2376.0,4960.0,1455.0,1965.0,886.0,2366.0,3252.0,1741.0,580.0,397.0,1221.0,1754.0,7677.0,0.0,0.4549928560088903,0.3659447348767737,0.4790322580645161,0.7404580152671756,0.4938879187172567,,
2008-2009,2009,CHI,3126.0,6846.0,493.0,1293.0,2633.0,5553.0,1633.0,2052.0,970.0,2481.0,3451.0,1732.0,615.0,453.0,1137.0,1709.0,8378.0,0.0,0.4566170026292726,0.38128383604021654,0.47415811273185665,0.7958089668615984,0.4926234297399942,41.0,41.0
2008-2009,2009,CLE,3022.0,6454.0,656.0,1670.0,2366.0,4784.0,1523.0,2012.0,886.0,2574.0,3460.0,1663.0,593.0,435.0,982.0,1663.0,8223.0,7.0,0.4682367524016114,0.39281437125748503,0.4945652173913043,0.7569582504970179,0.5190579485590332,66.0,16.0
2008-2009,2009,DAL,3128.0,6770.0,571.0,1632.0,2557.0,5138.0,1516.0,1852.0,909.0,2595.0,3504.0,1779.0,591.0,429.0,1001.0,1600.0,8343.0,3.0,0.4620384047267356,0.34987745098039214,0.4976644608797197,0.8185745140388769,0.5042097488921713,50.0,32.0
2008-2009,2009,DEN,3058.0,6510.0,548.0,1477.0,2510.0,5033.0,1891.0,2487.0,905.0,2507.0,3412.0,1820.0,710.0,492.0,1226.0,1874.0,8555.0,0.0,0.4697388632872504,0.3710223425863236,0.4987085237432943,0.7603538399678327,0.5118279569892473,54.0,28.0
2008-2009,2009,DET,2981.0,6559.0,377.0,1079.0,2604.0,5480.0,1388.0,1849.0,949.0,2448.0,3397.0,1689.0,493.0,377.0,921.0,1712.0,7727.0,0.0,0.4544900137216039,0.3493975903614458,0.4751824817518248,0.7506760411032991,0.4832291507851807,39.0,43.0
2008-2009,2009,GSW,3231.0,7055.0,550.0,1475.0,2681.0,5580.0,1893.0,2392.0,953.0,2492.0,3445.0,1711.0,638.0,527.0,1166.0,1842.0,8905.0,1.0,0.45797306874557053,0.3728813559322034,0.48046594982078855,0.7913879598662207,0.4969525159461375,29.0,53.0
2008-2009,2009,HOU,2959.0,6526.0,621.0,1656.0,2338.0,4870.0,1531.0,1903.0,862.0,2662.0,3524.0,1662.0,548.0,355.0,1093.0,1553.0,8070.0,1.0,0.4534171008274594,0.375,0.48008213552361395,0.8045191802417236,0.500996015936255,53.0,29.0
