Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2018-2019,2019,ATL,3392.0,7524.0,1067.0,3034.0,2325.0,4490.0,1443.0,1918.0,955.0,2825.0,3780.0,2118.0,675.0,419.0,1363.0,1932.0,9294.0,1.0,0.4508240297713982,0.35168094924192483,0.5178173719376392,0.7523461939520334,0.5217304625199362,29.0,53.0
2018-2019,2019,BOS,3451.0,7423.0,1032.0,2829.0,2419.0,4594.0,1282.0,1598.0,804.0,2849.0,3653.0,2155.0,706.0,435.0,1019.0,1670.0,9216.0,2.0,0.4649063720867574,0.3647932131495228,0.5265563778841967,0.8022528160200251,0.5344200458035835,49.0,33.0
2018-2019,2019,BRK,3301.0,7358.0,1047.0,2965.0,2254.0,4393.0,1555.0,2088.0,900.0,2919.0,3819.0,1954.0,539.0,339.0,1181.0,1763.0,9204.0,0.0,0.4486273443870617,0.35311973018549747,0.5130890052356021,0.7447318007662835,0.5197743952160914,,
2018-2019,2019,CHI,3266.0,7205.0,745.0,2123.0,2521.0,5082.0,1328.0,1695.0,718.0,2799.0,3517.0,1796.0,603.0,351.0,1106.0,1663.0,8605.0,0.0,0.4532963219986121,0.3509185115402732,0.49606454151908697,0.783480825958702,0.5049965301873699,22.0,60.0
2018-2019,2019,CHO,3297.0,7362.0,977.0,2783.0,2320.0,4579.0,1510.0,1895.0,814.0,2778.0,3592.0,1905.0,591.0,405.0,956.0,1550.0,9081.0,0.0,0.447840260798696,0.3510600071864894,0.5066608429788163,0.7968337730870713,0.5141945123607715,,
2018-2019,2019,CLE,3189.0,7184.0,847.0,2388.0,2342.0,4796.0,1342.0,1694.0,879.0,2619.0,3498.0,1698.0,534.0,195.0,1036.0,1642.0,8567.0,0.0,0.4439031180400891,0.3546901172529313,0.4883236030025021,0.7922077922077922,0.5028535634743875,19.0,63.0
2018-2019,2019,DAL,3182.0,7122.0,1022.0,3002.0,2160.0,4120.0,1541.0,2076.0,832.0,2884.0,3716.0,1918.0,533.0,351.0,1117.0,1650.0,8927.0,9.0,0.4467846110643078,0.34043970686209196,0.5242718446601942,0.7422928709055877,0.5185341196293176,33.0,49.0
2018-2019,2019,DEN,3439.0,7384.0,903.0,2571.0,2536.0,4813.0,1294.0,1714.0,972.0,2832.0,3804.0,2245.0,634.0,363.0,1054.0,1644.0,9075.0,12.0,0.46573672806067173,0.35122520420070014,0.5269062954498234,0.7549591598599766,0.5268824485373781,54.0,28.0
2018-2019,2019,DET,3185.0,7238.0,993.0,2854.0,2192.0,4384.0,1415.0,1893.0,936.0,2752.0,3688.0,1845.0,569.0,331.0,1062.0,1811.0,8778.0,2.0,0.4400386847195358,0.3479327259985985,0.5,0.7474907554146857,0.5086349820392374,41.0,41.0
2018-2019,2019,GSW,3612.0,7361.0,1087.0,2824.0,2525.0,4537.0,1339.0,1672.0,797.0,2990.0,3787.0,2413.0,625.0,525.0,1128.0,1757.0,9650.0,2.0,0.4906941991577231,0.38491501416430596,0.5565351553890235,0.8008373205741627,0.5645292759135987,57.0,25.0
2018-2019,2019,HOU,3218.0,7163.0,1323.0,3721.0,1895.0,3442.0,1582.0,2001.0,836.0,2613.0,3449.0,1741.0,700.0,405.0,1038.0,1803.0,9341.0,8.0,0.44925310624040204,0.3555495834453104,0.5505520046484602,0.7906046976511744,0.5416026804411559,53.0,29.0
2018-2019,2019,IND,3390.0,7135.0,779.0,2081.0,2611.0,5054.0,1298.0,1727.0,762.0,2766.0,3528.0,2128.0,713.0,404.0,1090.0,1594.0,8857.0,0.0,0.47512263489838824,0.3743392599711677,0.5166204986149584,0.7515923566878981,0.5297126839523476,48.0,34.0
2018-2019,2019,LAC,3384.0,7178.0,821.0,2118.0,2563.0,5060.0,1853.0,2340.0,796.0,2936.0,3732.0,1970.0,561.0,385.0,1132.0,1913.0,9442.0,1.0,0.4714405126776261,0.3876298394711992,0.5065217391304347,0.7918803418803418,0.5286291446085261,48.0,34.0
2018-2019,2019,LAL,3491.0,7425.0,847.0,2541.0,2644.0,4884.0,1336.0,1910.0,835.0,2985.0,3820.0,2096.0,618.0,440.0,1246.0,1701.0,9165.0,10.0,0.4701683501683502,0.3333333333333333,0.5413595413595413,0.6994764397905759,0.5272053872053872,37.0,45.0
2018-2019,2019,MEM,3113.0,6924.0,811.0,2368.0,2302.0,4556.0,1453.0,1882.0,723.0,2703.0,3426.0,1963.0,684.0,448.0,1080.0,1801.0,8490.0,5.0,0.44959560947429233,0.3424831081081081,0.5052677787532923,0.7720510095642933,0.50816002310803,33.0,49.0
2018-2019,2019,MIA,3251.0,7218.0,928.0,2658.0,2323.0,4560.0,1238.0,1782.0,921.0,2879.0,3800.0,1991.0,627.0,448.0,1155.0,1712.0,8668.0,2.0,0.4504017733444167,0.3491346877351392,0.5094298245614035,0.6947250280583613,0.5146855084510945,39.0,43.0
2018-2019,2019,MIL,3555.0,7471.0,1105.0,3134.0,2450.0,4337.0,1471.0,1904.0,762.0,3316.0,4078.0,2136.0,615.0,486.0,1087.0,1608.0,9686.0,6.0,0.4758399143354303,0.35258455647734527,0.564906617477519,0.7725840336134454,0.549792531120332,60.0,22.0
2018-2019,2019,MIN,3413.0,7483.0,827.0,2357.0,2586.0,5126.0,1570.0,1995.0,923.0,2750.0,3673.0,2018.0,683.0,411.0,1030.0,1664.0,9223.0,0.0,0.45610049445409595,0.3508697496817989,0.5044869293796332,0.7869674185463659,0.511359080582654,36.0,46.0
2018-2019,2019,NOP,3581.0,7563.0,842.0,2449.0,2739.0,5114.0,1462.0,1921.0,909.0,2969.0,3878.0,2216.0,610.0,441.0,1188.0,1732.0,9466.0,7.0,0.47348935607563136,0.34381380155165375,0.5355885803676182,0.7610619469026548,0.5291550971836573,33.0,49.0
2018-2019,2019,NYK,3134.0,7241.0,823.0,2421.0,2311.0,4820.0,1484.0,1956.0,857.0,2811.0,3668.0,1646.0,557.0,422.0,1099.0,1713.0,8575.0,1.0,0.43281314735533766,0.3399421726559273,0.4794605809128631,0.7586912065439673,0.4896423145974313,17.0,65.0
2018-2019,2019,OKC,3497.0,7706.0,932.0,2677.0,2565.0,5029.0,1461.0,2049.0,1031.0,2911.0,3942.0,1917.0,766.0,425.0,1119.0,1839.0,9387.0,35.0,0.45380223202699194,0.3481509152035861,0.5100417578047326,0.7130307467057101,0.5142745912276149,49.0,33.0
2018-2019,2019,ORL,3316.0,7307.0,937.0,2633.0,2379.0,4674.0,1231.0,1575.0,822.0,2902.0,3724.0,2095.0,543.0,445.0,1036.0,1526.0,8800.0,1.0,0.4538114137128781,0.35586783137105965,0.5089858793324775,0.7815873015873016,0.5179280142329273,42.0,40.0
2018-2019,2019,PHI,3407.0,7233.0,889.0,2474.0,2518.0,4759.0,1742.0,2258.0,892.0,3025.0,3917.0,2207.0,606.0,432.0,1186.0,1745.0,9445.0,12.0,0.47103553159131756,0.3593371059013743,0.5291027526791343,0.7714791851195748,0.5324899764966128,51.0,31.0
2018-2019,2019,PHO,3289.0,7164.0,790.0,2400.0,2499.0,4764.0,1447.0,1858.0,748.0,2563.0,3311.0,1957.0,735.0,418.0,1244.0,1932.0,8815.0,0.0,0.4591010608598548,0.32916666666666666,0.52455919395466,0.778794402583423,0.5142378559463987,,
2018-2019,2019,POR,3470.0,7427.0,904.0,2520.0,2566.0,4907.0,1558.0,1914.0,967.0,2968.0,3935.0,1887.0,546.0,413.0,1091.0,1669.0,9402.0,4.0,0.4672142183923522,0.35873015873015873,0.5229264316282861,0.8140020898641588,0.5280732462636327,53.0,29.0
2018-2019,2019,SAC,3541.0,7637.0,927.0,2455.0,2614.0,5182.0,1354.0,1865.0,906.0,2819.0,3725.0,2083.0,679.0,363.0,1058.0,1751.0,9363.0,1.0,0.4636637423071887,0.3775967413441955,0.5044384407564647,0.7260053619302949,0.5243551132643708,39.0,43.0
2018-2019,2019,SAS,3468.0,7248.0,812.0,2071.0,2656.0,5177.0,1408.0,1720.0,757.0,2910.0,3667.0,2013.0,501.0,386.0,969.0,1487.0,9156.0,1.0,0.478476821192053,0.3920811202317721,0.5130384392505312,0.8186046511627907,0.5344922737306843,48.0,34.0
2018-2019,2019,TOR,3460.0,7305.0,1015.0,2771.0,2445.0,4534.0,1449.0,1803.0,786.0,2920.0,3706.0,2085.0,680.0,437.0,1093.0,1724.0,9384.0,2.0,0.4736481861738535,0.36629375676651027,0.539258932509925,0.8036605657237936,0.5431211498973306,58.0,24.0
2018-2019,2019,UTA,3314.0,7082.0,993.0,2789.0,2321.0,4293.0,1540.0,2092.0,820.0,2981.0,3801.0,2133.0,663.0,483.0,1210.0,1728.0,9161.0,0.0,0.4679469076532053,0.3560415919684475,0.5406475658047986,0.7361376673040153,0.5380542219711946,50.0,32.0
2018-2019,2019,WAS,3456.0,7387.0,930.0,2731.0,2526.0,4656.0,1508.0,1963.0,794.0,2679.0,3473.0,2154.0,683.0,379.0,1120.0,1701.0,9350.0,3.0,0.46784892378502774,0.34053460270963015,0.5425257731958762,0.7682119205298014,0.5307973466901313,32.0,50.0
