Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2023-2024,2024,ATL,3529.0,7584.0,1125.0,3092.0,2404.0,4492.0,1520.0,1906.0,1024.0,2639.0,3663.0,2180.0,615.0,369.0,1046.0,1522.0,9703.0,2.0,0.4653217299578059,0.36384217335058217,0.5351736420302761,0.7974816369359916,0.5394910337552743,36,46
2023-2024,2024,BOS,3601.0,7396.0,1351.0,3482.0,2250.0,3914.0,1334.0,1654.0,876.0,2923.0,3799.0,2207.0,557.0,538.0,924.0,1326.0,9887.0,2.0,0.4868848025959978,0.3879954049396898,0.5748594787940725,0.8065296251511487,0.5782179556517036,64,18
2023-2024,2024,BRK,3334.0,7307.0,1089.0,3010.0,2245.0,4297.0,1293.0,1711.0,938.0,2675.0,3613.0,2102.0,556.0,424.0,1010.0,1516.0,9050.0,0.0,0.45627480498152456,0.3617940199335548,0.5224575285082615,0.755698421975453,0.5307923908580813,32,50
2023-2024,2024,CHI,3448.0,7339.0,941.0,2630.0,2507.0,4709.0,1369.0,1731.0,916.0,2677.0,3593.0,2048.0,638.0,394.0,957.0,1541.0,9206.0,0.0,0.4698187764000545,0.3577946768060836,0.532384795073264,0.7908723281340265,0.5339283281100967,39,43
2023-2024,2024,CHO,3281.0,7133.0,989.0,2788.0,2292.0,4345.0,1189.0,1512.0,765.0,2538.0,3303.0,2033.0,562.0,371.0,1065.0,1472.0,8740.0,1.0,0.4599747651759428,0.3547345767575323,0.5275028768699654,0.7863756613756614,0.5293004345997476,21,61
2023-2024,2024,CLE,3425.0,7148.0,1108.0,3016.0,2317.0,4132.0,1278.0,1671.0,807.0,2742.0,3549.0,2299.0,605.0,380.0,1045.0,1436.0,9236.0,1.0,0.47915500839395636,0.3673740053050398,0.5607454017424975,0.7648114901256733,0.5566592053721321,48,34
2023-2024,2024,DAL,3535.0,7352.0,1197.0,3242.0,2338.0,4110.0,1397.0,1842.0,797.0,2724.0,3521.0,2106.0,563.0,406.0,991.0,1500.0,9664.0,21.0,0.4808215451577802,0.36921653300431834,0.5688564476885645,0.758414766558089,0.562227965179543,50,32
2023-2024,2024,DEN,3610.0,7279.0,958.0,2560.0,2652.0,4719.0,1240.0,1628.0,881.0,2763.0,3644.0,2415.0,585.0,457.0,967.0,1489.0,9418.0,25.0,0.4959472455007556,0.37421875,0.5619834710743802,0.7616707616707616,0.5617529880478087,57,25
2023-2024,2024,DET,3353.0,7236.0,906.0,2602.0,2447.0,4634.0,1398.0,1780.0,861.0,2692.0,3553.0,2088.0,531.0,384.0,1201.0,1688.0,9010.0,0.0,0.4633775566611387,0.3481936971560338,0.5280535174794994,0.7853932584269663,0.5259812050856827,14,68
2023-2024,2024,GSW,3582.0,7515.0,1211.0,3191.0,2371.0,4324.0,1282.0,1644.0,996.0,2834.0,3830.0,2402.0,572.0,377.0,1124.0,1598.0,9657.0,1.0,0.47664670658682634,0.3795048574114698,0.5483348751156337,0.7798053527980535,0.5572188955422488,46,36
2023-2024,2024,HOU,3425.0,7459.0,1043.0,2964.0,2382.0,4495.0,1482.0,1916.0,940.0,2787.0,3727.0,2035.0,639.0,375.0,1001.0,1702.0,9375.0,4.0,0.4591768333556777,0.351889338731444,0.5299221357063404,0.7734864300626305,0.529092371631586,41,41
2023-2024,2024,IND,3855.0,7599.0,1082.0,2891.0,2773.0,4708.0,1318.0,1685.0,827.0,2578.0,3405.0,2522.0,631.0,481.0,1006.0,1756.0,10110.0,2.0,0.5073035925779708,0.3742649602213767,0.5889974511469839,0.7821958456973294,0.5784971706803527,47,35
2023-2024,2024,LAC,3473.0,7108.0,1036.0,2719.0,2437.0,4389.0,1499.0,1817.0,822.0,2701.0,3523.0,2097.0,640.0,413.0,1003.0,1519.0,9481.0,5.0,0.48860438942037143,0.38102243471864655,0.5552517657780816,0.8249862410566868,0.5614800225098481,51,31
2023-2024,2024,LAL,3580.0,7177.0,969.0,2572.0,2611.0,4605.0,1550.0,1983.0,676.0,2859.0,3535.0,2340.0,605.0,453.0,1100.0,1283.0,9679.0,8.0,0.498815661139752,0.37674961119751166,0.5669923995656895,0.7816439737771054,0.5663229761738888,47,35
