Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2013-2014,2014,ATL,3061.0,6688.0,768.0,2116.0,2293.0,4572.0,1392.0,1782.0,713.0,2565.0,3278.0,2041.0,680.0,326.0,1189.0,1577.0,8282.0,1.0,0.4576854066985646,0.3629489603024575,0.5015310586176728,0.7811447811447811,0.5151016746411483,38.0,44.0
2013-2014,2014,BOS,2996.0,6883.0,575.0,1729.0,2421.0,5154.0,1325.0,1706.0,980.0,2505.0,3485.0,1726.0,584.0,343.0,1182.0,1743.0,7892.0,2.0,0.435275315995932,0.3325621746674378,0.46973224679860304,0.7766705744431418,0.4770448932151678,25.0,57.0
2013-2014,2014,BRK,2931.0,6391.0,709.0,1922.0,2222.0,4469.0,1508.0,2002.0,721.0,2407.0,3128.0,1714.0,705.0,311.0,1144.0,1777.0,8079.0,0.0,0.45861367548114534,0.3688865764828304,0.49720295368091294,0.7532467532467533,0.5140823032389298,44.0,38.0
2013-2014,2014,CHI,2843.0,6577.0,508.0,1459.0,2335.0,5118.0,1486.0,1908.0,937.0,2683.0,3620.0,1860.0,594.0,424.0,1148.0,1565.0,7680.0,4.0,0.43226395012923824,0.34818368745716244,0.45623290347792106,0.7788259958071279,0.47088338148091835,48.0,34.0
2013-2014,2014,CHO,2976.0,6730.0,516.0,1471.0,2460.0,5259.0,1474.0,2000.0,776.0,2724.0,3500.0,1778.0,499.0,421.0,954.0,1493.0,7942.0,1.0,0.44219910846953936,0.35078178110129166,0.4677695379349686,0.737,0.48053491827637446,,
2013-2014,2014,CLE,3036.0,6955.0,584.0,1640.0,2452.0,5315.0,1398.0,1861.0,989.0,2629.0,3618.0,1738.0,579.0,304.0,1105.0,1640.0,8054.0,1.0,0.43652048885693745,0.35609756097560974,0.4613358419567262,0.7512090274046211,0.4785046728971963,33.0,49.0
2013-2014,2014,DAL,3249.0,6858.0,721.0,1877.0,2528.0,4981.0,1378.0,1733.0,840.0,2514.0,3354.0,1935.0,704.0,356.0,1082.0,1636.0,8597.0,0.0,0.473753280839895,0.38412360149174213,0.5075286087131098,0.7951529140219273,0.5263196267133275,49.0,33.0
2013-2014,2014,DEN,3147.0,7042.0,702.0,1959.0,2445.0,5083.0,1563.0,2154.0,1009.0,2717.0,3726.0,1838.0,615.0,459.0,1260.0,1890.0,8559.0,0.0,0.44689008804316954,0.35834609494640124,0.48101514853433014,0.7256267409470752,0.4967338824197671,36.0,46.0
2013-2014,2014,DET,3182.0,7124.0,507.0,1580.0,2675.0,5544.0,1415.0,2111.0,1196.0,2525.0,3721.0,1714.0,687.0,395.0,1143.0,1666.0,8286.0,0.0,0.4466591802358226,0.3208860759493671,0.4825036075036075,0.6702984367598295,0.482243121841662,29.0,53.0
2013-2014,2014,GSW,3236.0,7005.0,774.0,2037.0,2462.0,4968.0,1303.0,1731.0,896.0,2819.0,3715.0,1912.0,642.0,407.0,1225.0,1784.0,8549.0,4.0,0.46195574589578875,0.3799705449189985,0.49557165861513686,0.7527440785673022,0.5172019985724482,51.0,31.0
2013-2014,2014,HOU,3118.0,6603.0,779.0,2179.0,2339.0,4424.0,1814.0,2549.0,920.0,2797.0,3717.0,1755.0,621.0,461.0,1264.0,1676.0,8829.0,2.0,0.4722096016961987,0.3575034419458467,0.5287070524412296,0.7116516280894468,0.531197940330153,54.0,28.0
2013-2014,2014,IND,2949.0,6573.0,550.0,1542.0,2399.0,5031.0,1485.0,1907.0,834.0,2831.0,3665.0,1651.0,550.0,446.0,1185.0,1675.0,7933.0,6.0,0.44865358283888634,0.35667963683527887,0.4768435698668257,0.7787100157315154,0.4904914042294234,56.0,26.0
2013-2014,2014,LAC,3208.0,6761.0,693.0,1966.0,2515.0,4795.0,1741.0,2384.0,858.0,2668.0,3526.0,2016.0,703.0,397.0,1092.0,1767.0,8850.0,1.0,0.4744860227776956,0.35249237029501523,0.5245046923879041,0.7302852348993288,0.5257358378938027,57.0,25.0
2013-2014,2014,LAL,3139.0,6980.0,774.0,2032.0,2365.0,4948.0,1390.0,1835.0,745.0,2620.0,3365.0,2006.0,611.0,446.0,1213.0,1627.0,8442.0,1.0,0.4497134670487106,0.3809055118110236,0.47797089733225545,0.7574931880108992,0.5051575931232092,27.0,55.0
2013-2014,2014,MEM,3122.0,6723.0,405.0,1147.0,2717.0,5576.0,1235.0,1666.0,950.0,2526.0,3476.0,1792.0,631.0,375.0,1060.0,1568.0,7884.0,0.0,0.46437602260895433,0.35309503051438534,0.48726685796269725,0.741296518607443,0.49449650453666516,50.0,32.0
2013-2014,2014,MIA,3142.0,6272.0,665.0,1829.0,2477.0,4443.0,1431.0,1884.0,627.0,2397.0,3024.0,1847.0,732.0,367.0,1166.0,1596.0,8380.0,1.0,0.5009566326530612,0.3635866593767086,0.5575061895115913,0.7595541401273885,0.5539700255102041,54.0,28.0
2013-2014,2014,MIL,2952.0,6737.0,548.0,1553.0,2404.0,5184.0,1377.0,1843.0,971.0,2399.0,3370.0,1760.0,541.0,403.0,1172.0,1713.0,7829.0,0.0,0.43817723022116667,0.3528654217643271,0.4637345679012346,0.7471513836136734,0.4788481519964376,15.0,67.0
2013-2014,2014,MIN,3189.0,7175.0,600.0,1757.0,2589.0,5418.0,1790.0,2301.0,1024.0,2644.0,3668.0,1963.0,718.0,297.0,1105.0,1504.0,8768.0,5.0,0.4444599303135888,0.3414911781445646,0.4778516057585825,0.777922642329422,0.48627177700348434,40.0,42.0
2013-2014,2014,NOP,3101.0,6761.0,486.0,1303.0,2615.0,5458.0,1489.0,1936.0,933.0,2486.0,3419.0,1745.0,647.0,523.0,1065.0,1857.0,8177.0,1.0,0.4586599615441503,0.37298541826554105,0.47911322828875047,0.7691115702479339,0.4946013903268747,34.0,48.0
2013-2014,2014,NYK,3027.0,6739.0,759.0,2038.0,2268.0,4701.0,1271.0,1670.0,870.0,2437.0,3307.0,1641.0,631.0,367.0,1017.0,1815.0,8084.0,0.0,0.4491764356729485,0.37242394504416093,0.4824505424377792,0.7610778443113773,0.5054904288470099,37.0,45.0
2013-2014,2014,OKC,3194.0,6782.0,664.0,1839.0,2530.0,4943.0,1653.0,2052.0,887.0,2781.0,3668.0,1794.0,678.0,501.0,1217.0,1858.0,8705.0,5.0,0.47095252138012383,0.3610657966286025,0.5118349180659518,0.8055555555555556,0.5199056325567679,59.0,23.0
2013-2014,2014,ORL,3022.0,6784.0,563.0,1596.0,2459.0,5188.0,1307.0,1714.0,794.0,2654.0,3448.0,1726.0,630.0,350.0,1165.0,1678.0,7914.0,1.0,0.44545990566037735,0.35275689223057644,0.47397841171935234,0.7625437572928822,0.48695459905660377,23.0,59.0
2013-2014,2014,PHI,3108.0,7150.0,577.0,1847.0,2531.0,5303.0,1362.0,1918.0,949.0,2556.0,3505.0,1791.0,765.0,330.0,1348.0,1844.0,8155.0,3.0,0.4346853146853147,0.3123984840281538,0.47727701301150294,0.7101147028154328,0.47503496503496506,19.0,63.0
2013-2014,2014,PHO,3172.0,6845.0,765.0,2055.0,2407.0,4790.0,1520.0,2004.0,928.0,2601.0,3529.0,1563.0,688.0,374.0,1216.0,1798.0,8629.0,0.0,0.4634039444850256,0.3722627737226277,0.5025052192066806,0.7584830339321357,0.5192841490138788,48.0,34.0
2013-2014,2014,POR,3207.0,7134.0,770.0,2071.0,2437.0,5063.0,1569.0,1926.0,1022.0,2786.0,3808.0,1904.0,454.0,387.0,1094.0,1576.0,8753.0,2.0,0.44953742640874683,0.3718010622887494,0.4813351767726644,0.8146417445482866,0.5035043453882815,54.0,28.0
2013-2014,2014,SAC,3026.0,6766.0,491.0,1475.0,2535.0,5291.0,1698.0,2237.0,990.0,2656.0,3646.0,1547.0,587.0,318.0,1203.0,1849.0,8241.0,1.0,0.4472361809045226,0.3328813559322034,0.47911547911547914,0.7590523021904336,0.48352054389595034,28.0,54.0
2013-2014,2014,SAS,3326.0,6844.0,698.0,1757.0,2628.0,5087.0,1289.0,1642.0,762.0,2786.0,3548.0,2064.0,604.0,420.0,1153.0,1495.0,8639.0,0.0,0.4859731151373466,0.3972680705748435,0.5166109691370159,0.7850182704019488,0.5369666861484512,62.0,20.0
2013-2014,2014,TOR,2992.0,6718.0,713.0,1917.0,2279.0,4801.0,1608.0,2055.0,935.0,2552.0,3487.0,1737.0,577.0,343.0,1099.0,1882.0,8305.0,2.0,0.44537064602560283,0.37193531559728743,0.474692772339096,0.7824817518248175,0.4984370348317952,48.0,34.0
2013-2014,2014,UTA,2951.0,6652.0,543.0,1577.0,2408.0,5075.0,1346.0,1803.0,904.0,2477.0,3381.0,1664.0,570.0,366.0,1145.0,1699.0,7791.0,0.0,0.4436259771497294,0.3443246670894103,0.47448275862068967,0.7465335551858014,0.48444076969332533,25.0,57.0
2013-2014,2014,WAS,3177.0,6920.0,647.0,1704.0,2530.0,5216.0,1253.0,1715.0,886.0,2573.0,3459.0,1909.0,668.0,377.0,1155.0,1675.0,8254.0,2.0,0.45910404624277457,0.3796948356807512,0.48504601226993865,0.7306122448979592,0.5058526011560693,44.0,38.0
