Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2009-2010,2010,ATL,3181.0,6801.0,524.0,1455.0,2657.0,5346.0,1452.0,1914.0,969.0,2451.0,3420.0,1789.0,592.0,413.0,941.0,1632.0,8338.0,1.0,0.46772533450963094,0.36013745704467354,0.49700710811821924,0.7586206896551724,0.5062490810174974,53.0,29.0
2009-2010,2010,BOS,3039.0,6294.0,499.0,1433.0,2540.0,4861.0,1559.0,2090.0,716.0,2449.0,3165.0,1930.0,701.0,402.0,1152.0,1816.0,8136.0,2.0,0.4828408007626311,0.34822051639916257,0.5225262291709525,0.745933014354067,0.5224817286304417,50.0,32.0
2009-2010,2010,CHI,3081.0,6825.0,352.0,1066.0,2729.0,5759.0,1479.0,1962.0,937.0,2715.0,3652.0,1704.0,531.0,478.0,1121.0,1648.0,7993.0,0.0,0.4514285714285714,0.3302063789868668,0.4738669907970134,0.753822629969419,0.47721611721611723,41.0,41.0
2009-2010,2010,CHO,2858.0,6306.0,460.0,1331.0,2398.0,4975.0,1637.0,2180.0,858.0,2490.0,3348.0,1658.0,632.0,446.0,1220.0,1597.0,7813.0,0.0,0.45321915635902316,0.3456048084147258,0.48201005025125626,0.7509174311926605,0.48969235648588644,,
2009-2010,2010,CLE,3101.0,6391.0,602.0,1582.0,2499.0,4809.0,1569.0,2180.0,791.0,2692.0,3483.0,1835.0,564.0,425.0,1069.0,1591.0,8373.0,4.0,0.48521358159912376,0.3805309734513274,0.519650655021834,0.7197247706422019,0.5323110624315444,61.0,21.0
2009-2010,2010,DAL,3140.0,6760.0,558.0,1498.0,2582.0,5262.0,1526.0,1870.0,834.0,2586.0,3420.0,1917.0,624.0,449.0,1015.0,1563.0,8364.0,3.0,0.46449704142011833,0.3724966622162884,0.4906879513492968,0.8160427807486631,0.5057692307692307,55.0,27.0
2009-2010,2010,DEN,3124.0,6678.0,544.0,1517.0,2580.0,5161.0,1937.0,2508.0,889.0,2505.0,3394.0,1719.0,683.0,417.0,1108.0,1844.0,8729.0,0.0,0.46780473195567535,0.35860250494396834,0.49990311955047473,0.7723285486443381,0.5085354896675651,53.0,29.0
2009-2010,2010,DET,2940.0,6602.0,374.0,1190.0,2566.0,5412.0,1455.0,1998.0,1053.0,2242.0,3295.0,1591.0,596.0,313.0,1036.0,1822.0,7709.0,0.0,0.4453196001211754,0.3142857142857143,0.47413155949741315,0.7282282282282282,0.47364435019691004,27.0,55.0
2009-2010,2010,GSW,3329.0,7094.0,633.0,1687.0,2696.0,5407.0,1631.0,2085.0,753.0,2397.0,3150.0,1839.0,761.0,340.0,1172.0,1886.0,8922.0,1.0,0.4692698054694108,0.3752222880853586,0.4986129091917884,0.7822541966426858,0.5138849732168029,26.0,56.0
2009-2010,2010,HOU,3094.0,6923.0,646.0,1838.0,2448.0,5085.0,1561.0,2022.0,971.0,2471.0,3442.0,1790.0,583.0,318.0,1132.0,1712.0,8395.0,1.0,0.44691607684529827,0.3514689880304679,0.4814159292035398,0.7720079129574678,0.49357215080167555,42.0,40.0
2009-2010,2010,IND,3020.0,6823.0,659.0,1896.0,2361.0,4927.0,1564.0,2019.0,785.0,2618.0,3403.0,1730.0,585.0,439.0,1168.0,1848.0,8263.0,0.0,0.44262054814597684,0.34757383966244726,0.47919626547594885,0.7746409113422487,0.49091308808442036,32.0,50.0
2009-2010,2010,LAC,3002.0,6601.0,483.0,1457.0,2519.0,5144.0,1362.0,1867.0,927.0,2502.0,3429.0,1810.0,532.0,466.0,1224.0,1581.0,7849.0,2.0,0.4547795788516891,0.33150308853809196,0.48969673405909797,0.7295125870380289,0.4913649447053477,29.0,53.0
2009-2010,2010,LAL,3144.0,6875.0,532.0,1562.0,2612.0,5313.0,1519.0,1985.0,973.0,2662.0,3635.0,1730.0,612.0,400.0,1066.0,1592.0,8339.0,0.0,0.4573090909090909,0.3405889884763124,0.49162431771127424,0.7652392947103275,0.496,57.0,25.0
2009-2010,2010,MEM,3223.0,6875.0,344.0,1020.0,2879.0,5855.0,1614.0,2202.0,1070.0,2496.0,3566.0,1543.0,645.0,399.0,1187.0,1655.0,8404.0,0.0,0.4688,0.33725490196078434,0.4917164816396242,0.7329700272479565,0.4938181818181818,40.0,42.0
