Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2020-2021,2021,ATL,2937.0,6281.0,895.0,2402.0,2042.0,3879.0,1417.0,1745.0,760.0,2525.0,3285.0,1737.0,503.0,342.0,914.0,1392.0,8186.0,1.0,0.46760070052539404,0.3726061615320566,0.5264243361691158,0.8120343839541547,0.5388473173061614,41,31
2020-2021,2021,BOS,2985.0,6401.0,979.0,2618.0,2006.0,3783.0,1160.0,1496.0,765.0,2421.0,3186.0,1689.0,556.0,383.0,964.0,1471.0,8109.0,1.0,0.4663333854085299,0.3739495798319328,0.5302669838752313,0.7754010695187166,0.5428058115919387,36,36
2020-2021,2021,BRK,3106.0,6289.0,1020.0,2600.0,2086.0,3689.0,1305.0,1623.0,640.0,2559.0,3199.0,1929.0,484.0,379.0,944.0,1371.0,8537.0,12.0,0.49387820003180155,0.3923076923076923,0.5654648956356736,0.8040665434380776,0.5749721736365082,48,24
2020-2021,2021,CHI,3035.0,6380.0,904.0,2446.0,2131.0,3934.0,995.0,1258.0,693.0,2544.0,3237.0,1927.0,482.0,304.0,1045.0,1362.0,7969.0,1.0,0.475705329153605,0.3695829926410466,0.541687849517031,0.7909379968203497,0.5465517241379311,31,41
2020-2021,2021,CHO,2875.0,6324.0,985.0,2666.0,1890.0,3658.0,1146.0,1505.0,762.0,2389.0,3151.0,1933.0,565.0,344.0,1021.0,1298.0,7881.0,1.0,0.45461733080328903,0.36946736684171044,0.5166757791142701,0.7614617940199335,0.5324952561669829,33,39
2020-2021,2021,CLE,2778.0,6175.0,720.0,2141.0,2058.0,4034.0,1200.0,1614.0,751.0,2327.0,3078.0,1716.0,559.0,325.0,1039.0,1308.0,7476.0,0.0,0.44987854251012144,0.33629145259224663,0.5101636093207734,0.7434944237918215,0.5081781376518218,22,50
2020-2021,2021,DAL,2958.0,6287.0,994.0,2744.0,1964.0,3543.0,1186.0,1524.0,657.0,2463.0,3120.0,1647.0,450.0,311.0,823.0,1396.0,8096.0,11.0,0.4704946715444568,0.3622448979591837,0.5543324865932825,0.7782152230971129,0.5495466836328933,42,30
2020-2021,2021,DEN,3114.0,6422.0,927.0,2462.0,2187.0,3960.0,1129.0,1406.0,758.0,2442.0,3200.0,1933.0,582.0,323.0,923.0,1374.0,8284.0,16.0,0.4848956711304889,0.3765231519090171,0.5522727272727272,0.8029871977240398,0.5570694487698536,47,25
2020-2021,2021,DET,2783.0,6162.0,832.0,2370.0,1951.0,3792.0,1278.0,1683.0,694.0,2381.0,3075.0,1743.0,531.0,371.0,1020.0,1477.0,7676.0,3.0,0.4516390782213567,0.3510548523206751,0.5145042194092827,0.7593582887700535,0.5191496267445634,20,52
2020-2021,2021,GSW,2973.0,6347.0,1048.0,2789.0,1925.0,3558.0,1193.0,1520.0,574.0,2524.0,3098.0,1991.0,587.0,342.0,1054.0,1526.0,8187.0,6.0,0.46841027256971796,0.37576192183578344,0.5410342889263631,0.7848684210526315,0.5509689617141957,39,33
