Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2022-2023,2023,ATL,3658.0,7574.0,882.0,2505.0,2776.0,5069.0,1513.0,1850.0,920.0,2719.0,3639.0,2049.0,580.0,401.0,1013.0,1541.0,9711.0,1.0,0.48296804858727227,0.3520958083832335,0.5476425330439929,0.8178378378378378,0.541193556905202,41,41
2022-2023,2023,BOS,3460.0,7278.0,1315.0,3492.0,2145.0,3786.0,1436.0,1769.0,796.0,2921.0,3717.0,2186.0,521.0,430.0,1043.0,1542.0,9671.0,2.0,0.47540533113492717,0.3765750286368843,0.5665610142630745,0.8117580553985303,0.5657460840890355,57,25
2022-2023,2023,BRK,3399.0,6978.0,1048.0,2771.0,2351.0,4207.0,1449.0,1811.0,674.0,2648.0,3322.0,2093.0,585.0,506.0,1057.0,1730.0,9295.0,3.0,0.4871023215821152,0.3782028148682786,0.5588305205609698,0.8001104362230812,0.5621954714817999,45,37
2022-2023,2023,CHI,3488.0,7116.0,854.0,2367.0,2634.0,4749.0,1446.0,1788.0,694.0,2779.0,3473.0,2006.0,644.0,371.0,1042.0,1551.0,9276.0,1.0,0.4901630129286116,0.360794254330376,0.5546430827542641,0.8087248322147651,0.5501686340640809,40,42
2022-2023,2023,CHO,3385.0,7413.0,881.0,2669.0,2504.0,4744.0,1447.0,1933.0,901.0,2751.0,3652.0,2062.0,634.0,425.0,1121.0,1661.0,9098.0,3.0,0.45663024416565495,0.33008617459722744,0.5278246205733558,0.7485773409208484,0.516052880075543,27,55
2022-2023,2023,CLE,3408.0,6984.0,950.0,2589.0,2458.0,4395.0,1439.0,1844.0,795.0,2574.0,3369.0,2045.0,586.0,384.0,1020.0,1560.0,9205.0,0.0,0.4879725085910653,0.36693704132869837,0.5592718998862344,0.7803687635574837,0.5559851088201604,51,31
2022-2023,2023,DAL,3283.0,6909.0,1246.0,3362.0,2037.0,3547.0,1554.0,2057.0,625.0,2556.0,3181.0,1880.0,514.0,304.0,957.0,1697.0,9366.0,11.0,0.475177304964539,0.37061273051754906,0.574288130814773,0.7554691298006806,0.5653495440729484,38,44
2022-2023,2023,DEN,3574.0,7088.0,969.0,2559.0,2605.0,4529.0,1378.0,1834.0,828.0,2699.0,3527.0,2368.0,618.0,368.0,1134.0,1525.0,9495.0,31.0,0.5042325056433409,0.3786635404454865,0.5751821594170898,0.7513631406761178,0.5725874717832957,53,29
2022-2023,2023,DET,3244.0,7140.0,934.0,2659.0,2310.0,4481.0,1623.0,2106.0,916.0,2564.0,3480.0,1884.0,574.0,308.0,1189.0,1813.0,9045.0,0.0,0.45434173669467787,0.3512598721323806,0.5155099308190136,0.7706552706552706,0.5197478991596639,17,65
2022-2023,2023,GSW,3538.0,7393.0,1363.0,3540.0,2175.0,3853.0,1314.0,1655.0,864.0,2793.0,3657.0,2446.0,588.0,323.0,1287.0,1757.0,9753.0,1.0,0.47856080075747326,0.3850282485875706,0.564495198546587,0.7939577039274924,0.5707425943460029,44,38
2022-2023,2023,HOU,3329.0,7287.0,856.0,2619.0,2473.0,4668.0,1567.0,2078.0,1100.0,2695.0,3795.0,1835.0,600.0,374.0,1267.0,1679.0,9081.0,3.0,0.4568409496363387,0.32684230622374955,0.529777206512425,0.7540904716073147,0.5155756827226567,22,60
2022-2023,2023,IND,3444.0,7345.0,1112.0,3030.0,2332.0,4315.0,1535.0,1944.0,832.0,2575.0,3407.0,2213.0,631.0,478.0,1157.0,1741.0,9535.0,1.0,0.46889040163376444,0.366996699669967,0.5404403244495944,0.7896090534979424,0.5445881552076243,35,47
2022-2023,2023,LAC,3370.0,7059.0,1041.0,2735.0,2329.0,4324.0,1533.0,1962.0,803.0,2742.0,3545.0,1959.0,580.0,364.0,1110.0,1598.0,9314.0,1.0,0.477404731548378,0.38062157221206583,0.5386216466234968,0.7813455657492355,0.5511403881569628,44,38
2022-2023,2023,LAL,3516.0,7298.0,885.0,2558.0,2631.0,4740.0,1691.0,2182.0,818.0,2930.0,3748.0,2072.0,526.0,378.0,1104.0,1466.0,9608.0,6.0,0.481775828994245,0.34597341673182175,0.5550632911392405,0.7749770852428964,0.5424088791449713,43,39
2022-2023,2023,MEM,3585.0,7551.0,985.0,2807.0,2600.0,4744.0,1432.0,1954.0,988.0,2835.0,3823.0,2135.0,680.0,473.0,1060.0,1643.0,9587.0,8.0,0.4747715534366309,0.35090844317776987,0.5480607082630692,0.7328556806550666,0.5399947026883857,51,31
