Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2015-2016,2016,ATL,3168.0,6923.0,815.0,2326.0,2353.0,4597.0,1282.0,1638.0,679.0,2772.0,3451.0,2100.0,747.0,486.0,1191.0,1570.0,8433.0,0.0,0.4576050845009389,0.35038693035253654,0.5118555579725909,0.7826617826617827,0.5164668496316626,48.0,34.0
2015-2016,2016,BOS,3216.0,7318.0,717.0,2142.0,2499.0,5176.0,1520.0,1929.0,950.0,2733.0,3683.0,1981.0,752.0,348.0,1104.0,1796.0,8669.0,1.0,0.4394643345176278,0.33473389355742295,0.48280525502318394,0.7879730430274754,0.48845312927029244,48.0,34.0
2015-2016,2016,BRK,3136.0,6920.0,531.0,1508.0,2605.0,5412.0,1286.0,1699.0,863.0,2614.0,3477.0,1830.0,627.0,332.0,1174.0,1476.0,8089.0,0.0,0.4531791907514451,0.3521220159151194,0.48133776792313376,0.7569158328428487,0.4915462427745665,,
2015-2016,2016,CHI,3165.0,7170.0,651.0,1753.0,2514.0,5417.0,1354.0,1720.0,907.0,2889.0,3796.0,1870.0,495.0,470.0,1093.0,1545.0,8335.0,4.0,0.44142259414225943,0.37136337706788364,0.4640945172604763,0.7872093023255814,0.48682008368200835,42.0,40.0
2015-2016,2016,CHO,3036.0,6922.0,873.0,2410.0,2163.0,4512.0,1534.0,1941.0,734.0,2869.0,3603.0,1778.0,595.0,438.0,973.0,1487.0,8479.0,2.0,0.4386015602427044,0.3622406639004149,0.47938829787234044,0.7903142709943328,0.5016613695463739,,
2015-2016,2016,CLE,3171.0,6888.0,880.0,2428.0,2291.0,4460.0,1333.0,1783.0,873.0,2777.0,3650.0,1861.0,551.0,317.0,1056.0,1666.0,8555.0,3.0,0.4603658536585366,0.3624382207578254,0.513677130044843,0.7476163768928772,0.5242450638792102,57.0,25.0
2015-2016,2016,DAL,3064.0,6900.0,806.0,2342.0,2258.0,4558.0,1454.0,1831.0,751.0,2781.0,3532.0,1813.0,560.0,306.0,1011.0,1595.0,8388.0,1.0,0.44405797101449274,0.3441502988898377,0.4953927161035542,0.7941015838339706,0.5024637681159421,42.0,40.0
2015-2016,2016,DEN,3093.0,7003.0,656.0,1943.0,2437.0,5060.0,1513.0,1974.0,941.0,2718.0,3659.0,1858.0,609.0,395.0,1162.0,1723.0,8355.0,0.0,0.4416678566328716,0.3376222336592898,0.4816205533596838,0.7664640324214792,0.48850492646008853,33.0,49.0
2015-2016,2016,DET,3111.0,7087.0,740.0,2148.0,2371.0,4939.0,1399.0,2095.0,1021.0,2777.0,3798.0,1594.0,573.0,304.0,1063.0,1557.0,8361.0,0.0,0.438972767038239,0.34450651769087526,0.4800566916379834,0.6677804295942721,0.4911810356991675,44.0,38.0
2015-2016,2016,GSW,3489.0,7159.0,1077.0,2592.0,2412.0,4567.0,1366.0,1790.0,816.0,2972.0,3788.0,2373.0,689.0,498.0,1219.0,1701.0,9421.0,15.0,0.48735856963263025,0.41550925925925924,0.5281366323626012,0.7631284916201118,0.5625785724263165,73.0,9.0
2015-2016,2016,HOU,3094.0,6847.0,878.0,2533.0,2216.0,4314.0,1671.0,2407.0,930.0,2601.0,3531.0,1821.0,821.0,430.0,1250.0,1790.0,8737.0,3.0,0.4518767343362056,0.3466245558626135,0.5136764024107556,0.6942251765683424,0.5159924054330364,41.0,41.0
2015-2016,2016,IND,3142.0,6985.0,663.0,1889.0,2479.0,5096.0,1430.0,1872.0,847.0,2779.0,3626.0,1741.0,742.0,391.0,1176.0,1641.0,8377.0,0.0,0.4498210450966357,0.3509793541556379,0.48645996860282575,0.7638888888888888,0.49727988546886187,45.0,37.0
2015-2016,2016,LAC,3141.0,6759.0,797.0,2190.0,2344.0,4569.0,1490.0,2152.0,721.0,2727.0,3448.0,1873.0,709.0,460.0,1016.0,1746.0,8569.0,0.0,0.4647137150466045,0.3639269406392694,0.5130225432260889,0.6923791821561338,0.5236721408492381,53.0,29.0
2015-2016,2016,LAL,2880.0,6956.0,639.0,2016.0,2241.0,4940.0,1583.0,2028.0,878.0,2645.0,3523.0,1478.0,593.0,337.0,1067.0,1662.0,7982.0,1.0,0.4140310523289247,0.3169642857142857,0.4536437246963563,0.7805719921104537,0.4599626221966647,17.0,65.0
2015-2016,2016,MEM,3019.0,6859.0,504.0,1521.0,2515.0,5338.0,1584.0,2024.0,916.0,2497.0,3413.0,1697.0,724.0,350.0,1041.0,1783.0,8126.0,3.0,0.44015162560139964,0.33136094674556216,0.4711502435369052,0.782608695652174,0.47689167517130776,42.0,40.0
