Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2012-2013,2013,ATL,3084.0,6644.0,706.0,1901.0,2378.0,4743.0,1158.0,1619.0,758.0,2593.0,3351.0,2007.0,664.0,369.0,1169.0,1473.0,8032.0,0.0,0.4641782059000602,0.371383482377696,0.5013704406493781,0.7152563310685608,0.517308850090307,44.0,38.0
2012-2013,2013,BOS,3001.0,6459.0,498.0,1390.0,2503.0,5069.0,1318.0,1698.0,654.0,2533.0,3187.0,1843.0,667.0,365.0,1126.0,1717.0,7818.0,8.0,0.4646230066573773,0.35827338129496406,0.4937857565594792,0.7762073027090695,0.5031738659235175,41.0,40.0
2012-2013,2013,BRK,2942.0,6544.0,628.0,1760.0,2314.0,4784.0,1432.0,1958.0,1047.0,2460.0,3507.0,1668.0,599.0,391.0,1140.0,1500.0,7944.0,0.0,0.4495721271393643,0.3568181818181818,0.483695652173913,0.7313585291113381,0.49755501222493886,,
2012-2013,2013,CHA,2823.0,6649.0,469.0,1399.0,2354.0,5250.0,1546.0,2060.0,917.0,2389.0,3306.0,1587.0,591.0,479.0,1074.0,1561.0,7661.0,0.0,0.4245751240788088,0.33523945675482486,0.4483809523809524,0.7504854368932039,0.45984358550157917,,
2012-2013,2013,CHI,2926.0,6698.0,446.0,1265.0,2480.0,5433.0,1343.0,1738.0,1026.0,2514.0,3540.0,1886.0,588.0,417.0,1120.0,1617.0,7641.0,2.0,0.43684681994625263,0.3525691699604743,0.45646972206883857,0.7727272727272727,0.4701403404001194,45.0,37.0
2012-2013,2013,CLE,2993.0,6901.0,547.0,1581.0,2446.0,5320.0,1380.0,1826.0,1004.0,2359.0,3363.0,1694.0,647.0,334.0,1100.0,1737.0,7913.0,0.0,0.4337052601072308,0.3459835547122075,0.45977443609022556,0.755750273822563,0.4733371975076076,24.0,58.0
2012-2013,2013,DAL,3182.0,6892.0,606.0,1628.0,2576.0,5264.0,1323.0,1669.0,767.0,2670.0,3437.0,1906.0,648.0,454.0,1107.0,1698.0,8293.0,0.0,0.4616947185142194,0.37223587223587223,0.48936170212765956,0.792690233672858,0.5056587347649448,41.0,41.0
2012-2013,2013,DEN,3339.0,6983.0,521.0,1518.0,2818.0,5465.0,1505.0,2148.0,1092.0,2601.0,3693.0,2002.0,762.0,533.0,1205.0,1682.0,8704.0,1.0,0.47816124874695687,0.3432147562582345,0.5156450137236962,0.7006517690875232,0.515466132034942,57.0,25.0
2012-2013,2013,DET,2979.0,6638.0,513.0,1440.0,2466.0,5198.0,1307.0,1870.0,991.0,2463.0,3454.0,1742.0,574.0,400.0,1194.0,1623.0,7778.0,1.0,0.44877975293763184,0.35625,0.47441323585994616,0.6989304812834225,0.48742090991262427,29.0,53.0
2012-2013,2013,GSW,3130.0,6840.0,658.0,1632.0,2472.0,5208.0,1378.0,1744.0,885.0,2801.0,3686.0,1845.0,567.0,346.0,1210.0,1753.0,8296.0,1.0,0.45760233918128657,0.40318627450980393,0.47465437788018433,0.7901376146788991,0.5057017543859649,47.0,35.0
