Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2019-2020,2020,ATL,2723.0,6067.0,805.0,2416.0,1918.0,3651.0,1237.0,1566.0,661.0,2237.0,2898.0,1605.0,523.0,341.0,1055.0,1548.0,7488.0,2.0,0.44882149332454263,0.3331953642384106,0.5253355245138318,0.7899106002554278,0.5151640019779133,20.0,47.0
2019-2020,2020,BOS,2971.0,6448.0,905.0,2487.0,2066.0,3961.0,1336.0,1668.0,768.0,2549.0,3317.0,1655.0,595.0,406.0,947.0,1553.0,8183.0,0.0,0.46076302729528534,0.36389223964616,0.5215854582176218,0.8009592326139089,0.5309398263027295,48.0,24.0
2019-2020,2020,BRK,2908.0,6498.0,941.0,2746.0,1967.0,3752.0,1291.0,1732.0,766.0,2683.0,3449.0,1761.0,464.0,323.0,1046.0,1510.0,8048.0,2.0,0.44752231455832564,0.342680262199563,0.5242537313432836,0.7453810623556582,0.5199292089873807,,
2019-2020,2020,CHI,2573.0,5762.0,793.0,2282.0,1780.0,3480.0,1006.0,1332.0,680.0,2041.0,2721.0,1510.0,652.0,265.0,951.0,1417.0,6945.0,0.0,0.44654633807705657,0.34750219106047325,0.5114942528735632,0.7552552552552553,0.5153592502603263,22.0,43.0
2019-2020,2020,CHO,2425.0,5586.0,785.0,2231.0,1640.0,3355.0,1052.0,1406.0,715.0,2066.0,2781.0,1549.0,428.0,268.0,903.0,1223.0,6687.0,0.0,0.43412101682778376,0.3518601523980278,0.488822652757079,0.748221906116643,0.5043859649122807,,
2019-2020,2020,CLE,2619.0,5715.0,727.0,2070.0,1892.0,3645.0,983.0,1296.0,704.0,2172.0,2876.0,1500.0,447.0,211.0,1022.0,1188.0,6948.0,0.0,0.4582677165354331,0.351207729468599,0.5190672153635116,0.7584876543209876,0.5218722659667542,19.0,46.0
2019-2020,2020,DAL,3124.0,6772.0,1136.0,3095.0,1988.0,3677.0,1392.0,1787.0,791.0,2729.0,3520.0,1849.0,460.0,363.0,909.0,1462.0,8776.0,17.0,0.46131128174837566,0.36704361873990304,0.5406581452270873,0.7789591494124231,0.5451860602480804,43.0,32.0
2019-2020,2020,DEN,3069.0,6488.0,801.0,2234.0,2268.0,4254.0,1185.0,1526.0,786.0,2436.0,3222.0,1952.0,586.0,337.0,954.0,1485.0,8124.0,13.0,0.47302712700369914,0.3585496866606983,0.5331452750352609,0.7765399737876802,0.5347564734895192,46.0,27.0
2019-2020,2020,DET,2595.0,5658.0,791.0,2157.0,1804.0,3501.0,1097.0,1476.0,644.0,2109.0,2753.0,1589.0,490.0,299.0,960.0,1299.0,7078.0,0.0,0.4586426299045599,0.3667130273528048,0.5152813481862325,0.7432249322493225,0.5285436550017674,20.0,46.0
2019-2020,2020,GSW,2510.0,5730.0,678.0,2032.0,1832.0,3698.0,1214.0,1511.0,647.0,2138.0,2785.0,1663.0,534.0,299.0,930.0,1304.0,6912.0,2.0,0.43804537521815007,0.33366141732283466,0.49540292049756623,0.8034414295168762,0.49720767888307155,15.0,50.0
