Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2007-2008,2008,ATL,2975.0,6552.0,384.0,1078.0,2591.0,5474.0,1720.0,2227.0,1008.0,2454.0,3462.0,1804.0,600.0,448.0,1170.0,1673.0,8054.0,1.0,0.45405982905982906,0.3562152133580705,0.47332846181951044,0.7723394701392007,0.48336385836385837,37.0,45.0
2007-2008,2008,BOS,2986.0,6286.0,596.0,1564.0,2390.0,4722.0,1677.0,2176.0,830.0,2615.0,3445.0,1833.0,696.0,379.0,1181.0,1864.0,8245.0,0.0,0.4750238625517022,0.38107416879795397,0.5061414654807285,0.7706801470588235,0.5224307986000636,66.0,16.0
2007-2008,2008,CHA,2960.0,6554.0,529.0,1443.0,2431.0,5111.0,1510.0,2115.0,892.0,2440.0,3332.0,1748.0,614.0,402.0,1135.0,1777.0,7959.0,0.0,0.4516325907842539,0.3665973665973666,0.47564077479945216,0.7139479905437353,0.4919896246566982,,
2007-2008,2008,CHI,2987.0,6861.0,474.0,1305.0,2513.0,5556.0,1533.0,2029.0,1050.0,2478.0,3528.0,1811.0,635.0,429.0,1155.0,1784.0,7981.0,1.0,0.43535927707331296,0.3632183908045977,0.4523038156947444,0.7555446032528339,0.46990234659670604,33.0,49.0
2007-2008,2008,CLE,2937.0,6697.0,552.0,1544.0,2385.0,5153.0,1477.0,2061.0,1092.0,2563.0,3655.0,1640.0,579.0,427.0,1081.0,1712.0,7903.0,7.0,0.43855457667612363,0.35751295336787564,0.4628371822239472,0.7166424065987385,0.47976705987755713,45.0,37.0
2007-2008,2008,DAL,3025.0,6515.0,494.0,1403.0,2531.0,5112.0,1690.0,2075.0,883.0,2643.0,3526.0,1720.0,490.0,402.0,988.0,1786.0,8234.0,2.0,0.46431312356101306,0.35210263720598717,0.4951095461658842,0.8144578313253013,0.5022256331542594,51.0,31.0
2007-2008,2008,DEN,3307.0,7038.0,569.0,1605.0,2738.0,5433.0,1891.0,2519.0,918.0,2698.0,3616.0,2024.0,752.0,551.0,1181.0,1731.0,9074.0,2.0,0.46987780619494174,0.3545171339563863,0.5039572979937419,0.7506947201270345,0.5103012219380506,50.0,32.0
2007-2008,2008,DET,2999.0,6551.0,487.0,1330.0,2512.0,5221.0,1507.0,1965.0,974.0,2423.0,3397.0,1831.0,583.0,472.0,910.0,1688.0,7992.0,0.0,0.4577927034040605,0.3661654135338346,0.48113388239800803,0.7669211195928753,0.49496260112959856,59.0,23.0
2007-2008,2008,GSW,3403.0,7406.0,761.0,2185.0,2642.0,5221.0,1538.0,2044.0,1045.0,2496.0,3541.0,1833.0,744.0,377.0,1063.0,1875.0,9105.0,3.0,0.4594923035376722,0.3482837528604119,0.5060333269488604,0.7524461839530333,0.5108695652173914,48.0,34.0
2007-2008,2008,HOU,3003.0,6698.0,583.0,1707.0,2420.0,4991.0,1342.0,1848.0,1002.0,2659.0,3661.0,1757.0,598.0,420.0,1071.0,1609.0,7931.0,1.0,0.44834278889220663,0.341534856473345,0.484872770987778,0.7261904761904762,0.49186324275903254,55.0,27.0
