Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2024-2025,2025,ATL,3556.0,7528.0,1107.0,3089.0,2449.0,4439.0,1472.0,1900.0,974.0,2675.0,3649.0,2426.0,798.0,419.0,1205.0,1564.0,9691.0,2.0,0.4723698193411265,0.3583684040142441,0.5517008335210632,0.7747368421052632,0.5458953241232731,40,42
2024-2025,2025,BOS,3413.0,7382.0,1457.0,3955.0,1956.0,3427.0,1251.0,1565.0,933.0,2783.0,3716.0,2144.0,589.0,452.0,931.0,1303.0,9534.0,2.0,0.4623408290436196,0.3683944374209861,0.5707615990662387,0.7993610223642172,0.5610268219994582,61,21
2024-2025,2025,BRK,3086.0,7060.0,1113.0,3232.0,1973.0,3828.0,1334.0,1696.0,894.0,2493.0,3387.0,2063.0,639.0,352.0,1138.0,1698.0,8619.0,0.0,0.43711048158640226,0.3443688118811881,0.5154127481713688,0.7865566037735849,0.5159348441926346,26,56
2024-2025,2025,CHI,3543.0,7545.0,1266.0,3447.0,2277.0,4098.0,1308.0,1617.0,825.0,2935.0,3760.0,2383.0,621.0,386.0,1143.0,1444.0,9660.0,9.0,0.46958250497017895,0.3672758920800696,0.5556368960468521,0.8089053803339518,0.553479125248509,39,43
2024-2025,2025,CHO,3142.0,7308.0,1065.0,3143.0,2077.0,4165.0,1269.0,1621.0,1003.0,2703.0,3706.0,1994.0,607.0,368.0,1219.0,1535.0,8618.0,1.0,0.42993979200875754,0.33884823417117405,0.49867947178871547,0.7828500925354719,0.5028051450465244,19,63
2024-2025,2025,CLE,3652.0,7444.0,1303.0,3401.0,2349.0,4043.0,1392.0,1793.0,917.0,2806.0,3723.0,2304.0,670.0,350.0,1028.0,1487.0,9999.0,0.0,0.4905964535196131,0.38312261099676564,0.581004204798417,0.7763524818739542,0.5781166039763568,64,18
2024-2025,2025,DAL,3443.0,7194.0,1020.0,2801.0,2423.0,4393.0,1458.0,1894.0,828.0,2702.0,3530.0,2070.0,636.0,445.0,1091.0,1458.0,9364.0,4.0,0.4785932721712538,0.36415565869332384,0.5515592988845891,0.7697993664202746,0.5494856825132054,39,43
2024-2025,2025,DEN,3724.0,7360.0,984.0,2619.0,2740.0,4741.0,1470.0,1909.0,919.0,2832.0,3751.0,2542.0,656.0,402.0,1111.0,1444.0,9902.0,39.0,0.5059782608695652,0.3757159221076747,0.5779371440624341,0.7700366684127815,0.5728260869565217,50,32
2024-2025,2025,DET,3503.0,7363.0,1051.0,2901.0,2452.0,4462.0,1414.0,1826.0,931.0,2739.0,3670.0,2165.0,652.0,431.0,1155.0,1695.0,9471.0,9.0,0.47575716419937525,0.3622888659083075,0.5495293590318243,0.7743702081051479,0.5471275295395899,44,38
2024-2025,2025,GSW,3342.0,7412.0,1264.0,3475.0,2078.0,3937.0,1383.0,1811.0,1029.0,2692.0,3721.0,2386.0,771.0,391.0,1082.0,1571.0,9331.0,3.0,0.45089044792228816,0.3637410071942446,0.5278130556261112,0.7636664826062949,0.5361575822989746,48,34
2024-2025,2025,HOU,3484.0,7659.0,1038.0,2938.0,2446.0,4721.0,1366.0,1851.0,1200.0,2774.0,3974.0,1914.0,689.0,411.0,1069.0,1557.0,9372.0,7.0,0.45488967228097665,0.35330156569094623,0.5181105697945351,0.737979470556456,0.5226530878704791,52,30
2024-2025,2025,IND,3574.0,7326.0,1081.0,2934.0,2493.0,4392.0,1395.0,1768.0,752.0,2678.0,3430.0,2398.0,694.0,448.0,1001.0,1533.0,9624.0,0.0,0.48785148785148785,0.36843899113837764,0.5676229508196722,0.7890271493212669,0.5616298116298116,50,32
2024-2025,2025,LAC,3409.0,7075.0,1022.0,2738.0,2387.0,4337.0,1416.0,1776.0,841.0,2750.0,3591.0,2064.0,773.0,370.0,1133.0,1503.0,9256.0,4.0,0.4818374558303887,0.3732651570489408,0.5503804473138114,0.7972972972972973,0.5540636042402827,50,32
2024-2025,2025,LAL,3356.0,7007.0,1092.0,2981.0,2264.0,4026.0,1494.0,1902.0,792.0,2687.0,3479.0,2131.0,633.0,367.0,1076.0,1415.0,9298.0,13.0,0.47894962180676465,0.366320026836632,0.5623447590660705,0.7854889589905363,0.5568716997288425,50,32
2024-2025,2025,MEM,3670.0,7654.0,1141.0,3106.0,2529.0,4548.0,1499.0,1908.0,1056.0,2819.0,3875.0,2330.0,726.0,462.0,1227.0,1711.0,9980.0,3.0,0.4794878494904625,0.3673535093367675,0.5560686015831134,0.7856394129979035,0.5540240397177946,48,34
2024-2025,2025,MIA,3318.0,7138.0,1124.0,3060.0,2194.0,4078.0,1309.0,1654.0,798.0,2760.0,3558.0,2166.0,668.0,314.0,1036.0,1275.0,9069.0,3.0,0.46483608854020736,0.3673202614379085,0.5380088278567925,0.7914147521160823,0.5435696273465956,37,45
2024-2025,2025,MIL,3445.0,7082.0,1161.0,3003.0,2284.0,4079.0,1421.0,1895.0,674.0,2882.0,3556.0,2090.0,601.0,384.0,1048.0,1469.0,9472.0,14.0,0.48644450720135557,0.3866133866133866,0.5599411620495219,0.749868073878628,0.5684128777181587,48,34
2024-2025,2025,MIN,3364.0,7182.0,1233.0,3269.0,2131.0,3913.0,1411.0,1789.0,908.0,2726.0,3634.0,2142.0,654.0,406.0,1127.0,1498.0,9372.0,0.0,0.4683932052353105,0.37717956561639643,0.5445949399437772,0.7887087758524315,0.5542328042328042,49,33
2024-2025,2025,NOP,3332.0,7368.0,986.0,2839.0,2346.0,4529.0,1356.0,1799.0,993.0,2583.0,3576.0,2119.0,701.0,429.0,1143.0,1499.0,9006.0,3.0,0.4522258414766558,0.3473053892215569,0.5179951424155442,0.7537520844913841,0.5191368078175895,21,61
2024-2025,2025,NYK,3553.0,7315.0,1031.0,2794.0,2522.0,4521.0,1357.0,1696.0,890.0,2607.0,3497.0,2254.0,671.0,324.0,999.0,1407.0,9494.0,10.0,0.4857142857142857,0.3690050107372942,0.5578411855784119,0.8001179245283019,0.5561859193438141,51,31
2024-2025,2025,OKC,3660.0,7600.0,1192.0,3184.0,2468.0,4416.0,1369.0,1672.0,871.0,2801.0,3672.0,2202.0,847.0,465.0,904.0,1631.0,9881.0,3.0,0.48157894736842105,0.3743718592964824,0.5588768115942029,0.81877990430622,0.56,68,14
2024-2025,2025,ORL,3130.0,7034.0,921.0,2892.0,2209.0,4142.0,1464.0,1890.0,914.0,2517.0,3431.0,1887.0,729.0,488.0,1073.0,1648.0,8645.0,0.0,0.4449815183394939,0.3184647302904564,0.5333172380492516,0.7746031746031746,0.5104492465169178,41,41
2024-2025,2025,PHI,3254.0,7168.0,1041.0,3050.0,2213.0,4118.0,1439.0,1844.0,852.0,2411.0,3263.0,1901.0,752.0,366.0,1053.0,1556.0,8988.0,2.0,0.45396205357142855,0.3413114754098361,0.5373967945604663,0.7803687635574837,0.5265764508928571,24,58
2024-2025,2025,PHO,3381.0,7075.0,1176.0,3112.0,2205.0,3963.0,1379.0,1702.0,783.0,2701.0,3484.0,2277.0,593.0,392.0,1086.0,1471.0,9317.0,0.0,0.4778798586572438,0.37789203084832906,0.5563966691900075,0.8102232667450059,0.5609893992932862,36,46
2024-2025,2025,POR,3325.0,7396.0,1057.0,3095.0,2268.0,4301.0,1386.0,1820.0,1095.0,2576.0,3671.0,1952.0,678.0,433.0,1240.0,1558.0,9093.0,2.0,0.44956733369388857,0.3415185783521809,0.5273192280864916,0.7615384615384615,0.5210248783126014,36,46
2024-2025,2025,SAC,3529.0,7385.0,1032.0,2887.0,2497.0,4498.0,1400.0,1738.0,901.0,2723.0,3624.0,2169.0,620.0,357.0,1036.0,1548.0,9490.0,10.0,0.4778605280974949,0.3574644960166263,0.5551356158292574,0.8055235903337169,0.5477318889641164,40,42
2024-2025,2025,SAS,3426.0,7362.0,1158.0,3246.0,2268.0,4116.0,1332.0,1721.0,896.0,2685.0,3581.0,2348.0,674.0,455.0,1087.0,1363.0,9342.0,1.0,0.46536267318663405,0.3567467652495379,0.5510204081632653,0.7739686228936665,0.5440097799511002,34,48
2024-2025,2025,TOR,3414.0,7462.0,969.0,2786.0,2445.0,4676.0,1294.0,1729.0,1034.0,2666.0,3700.0,2340.0,664.0,348.0,1204.0,1738.0,9091.0,4.0,0.45751809166443314,0.3478104809763101,0.5228828058169376,0.7484094852515906,0.522447065129992,30,52
2024-2025,2025,UTA,3305.0,7272.0,1144.0,3267.0,2161.0,4005.0,1421.0,1836.0,983.0,2741.0,3724.0,2093.0,555.0,360.0,1350.0,1549.0,9175.0,0.0,0.4544829482948295,0.3501683501683502,0.5395755305867665,0.7739651416122004,0.5331408140814081,17,65
2024-2025,2025,WAS,3233.0,7371.0,1075.0,3210.0,2158.0,4161.0,1315.0,1690.0,867.0,2716.0,3583.0,2058.0,623.0,420.0,1223.0,1618.0,8856.0,1.0,0.4386107719441053,0.3348909657320872,0.5186253304494112,0.7781065088757396,0.5115316781983449,18,64
