Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2016-2017,2017,ATL,3123.0,6918.0,729.0,2137.0,2394.0,4781.0,1484.0,2039.0,842.0,2793.0,3635.0,1938.0,672.0,397.0,1249.0,1491.0,8459.0,0.0,0.45143104943625323,0.341132428638278,0.5007320644216691,0.7278077488965179,0.5041196877710321,43.0,39.0
2016-2017,2017,BOS,3168.0,6978.0,985.0,2742.0,2183.0,4236.0,1536.0,1903.0,744.0,2698.0,3442.0,2069.0,617.0,340.0,1037.0,1686.0,8857.0,0.0,0.45399828030954426,0.35922684172137126,0.5153446647780925,0.8071466106148187,0.5245772427629694,53.0,29.0
2016-2017,2017,BRK,3102.0,6987.0,877.0,2591.0,2225.0,4396.0,1592.0,2020.0,721.0,2879.0,3600.0,1756.0,593.0,387.0,1307.0,1726.0,8673.0,0.0,0.4439673679690854,0.3384793516016982,0.5061419472247498,0.7881188118811882,0.5067267783025619,,
2016-2017,2017,CHI,3169.0,7141.0,623.0,1831.0,2546.0,5310.0,1474.0,1848.0,999.0,2797.0,3796.0,1851.0,643.0,393.0,1065.0,1455.0,8435.0,3.0,0.4437753815992158,0.3402512288367013,0.47947269303201506,0.7976190476190477,0.48739672314801846,41.0,41.0
2016-2017,2017,CHO,3093.0,7000.0,824.0,2347.0,2269.0,4653.0,1591.0,1953.0,721.0,2853.0,3574.0,1891.0,571.0,390.0,899.0,1360.0,8601.0,1.0,0.44185714285714284,0.3510864933958245,0.4876423812594025,0.8146441372247823,0.5007142857142857,,
2016-2017,2017,CLE,3275.0,6963.0,1067.0,2779.0,2208.0,4184.0,1431.0,1913.0,766.0,2821.0,3587.0,1858.0,539.0,327.0,1081.0,1486.0,9048.0,13.0,0.4703432428550912,0.3839510615329255,0.5277246653919694,0.7480397281756404,0.546962516156829,51.0,31.0
2016-2017,2017,DAL,2968.0,6750.0,878.0,2473.0,2090.0,4277.0,1215.0,1516.0,647.0,2516.0,3163.0,1705.0,614.0,307.0,921.0,1567.0,8029.0,0.0,0.4397037037037037,0.35503437120905784,0.48866027589431843,0.8014511873350924,0.5047407407407407,33.0,49.0
2016-2017,2017,DEN,3377.0,7194.0,870.0,2365.0,2507.0,4829.0,1537.0,1986.0,966.0,2837.0,3803.0,2077.0,568.0,323.0,1186.0,1567.0,9161.0,6.0,0.4694189602446483,0.3678646934460888,0.5191551045765169,0.7739174219536757,0.5298860161245482,40.0,42.0
2016-2017,2017,DET,3269.0,7282.0,631.0,1915.0,2638.0,5367.0,1140.0,1586.0,908.0,2838.0,3746.0,1732.0,574.0,310.0,932.0,1467.0,8309.0,0.0,0.4489151332051634,0.32950391644908616,0.49152226569778273,0.7187894073139974,0.49224114254325735,37.0,45.0
2016-2017,2017,GSW,3532.0,7140.0,982.0,2562.0,2550.0,4578.0,1457.0,1850.0,770.0,2873.0,3643.0,2491.0,785.0,555.0,1182.0,1585.0,9503.0,6.0,0.4946778711484594,0.3832943013270882,0.5570117955439057,0.7875675675675675,0.5634453781512605,67.0,15.0
2016-2017,2017,HOU,3305.0,7152.0,1181.0,3306.0,2124.0,3846.0,1667.0,2177.0,892.0,2746.0,3638.0,2070.0,670.0,352.0,1188.0,1634.0,9458.0,22.0,0.4621085011185682,0.3572292800967937,0.5522620904836193,0.7657326596233348,0.5446728187919463,55.0,27.0
2016-2017,2017,IND,3221.0,6931.0,709.0,1885.0,2512.0,5046.0,1467.0,1811.0,742.0,2702.0,3444.0,1844.0,669.0,409.0,1087.0,1597.0,8618.0,0.0,0.46472370509306016,0.37612732095490714,0.49782005548949665,0.8100496963003865,0.5158707257250036,42.0,40.0
2016-2017,2017,LAC,3242.0,6820.0,841.0,2245.0,2401.0,4575.0,1586.0,2128.0,738.0,2790.0,3528.0,1848.0,612.0,347.0,1022.0,1626.0,8911.0,2.0,0.475366568914956,0.37461024498886414,0.524808743169399,0.7453007518796992,0.5370234604105572,51.0,31.0
