Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2021-2022,2022,ATL,3401.0,7241.0,1056.0,2821.0,2345.0,4420.0,1485.0,1829.0,823.0,2783.0,3606.0,2017.0,587.0,348.0,924.0,1534.0,9343.0,0.0,0.4696865073884823,0.3743353420772776,0.5305429864253394,0.8119190814652816,0.542604612622566,43.0,39.0
2021-2022,2022,BOS,3341.0,7167.0,1085.0,3044.0,2256.0,4123.0,1397.0,1713.0,863.0,2915.0,3778.0,2036.0,591.0,478.0,1070.0,1521.0,9164.0,3.0,0.4661643644481652,0.3564388961892247,0.5471743875818579,0.8155283129013426,0.5418585182084554,51.0,31.0
2021-2022,2022,BRK,3442.0,7251.0,940.0,2602.0,2502.0,4649.0,1434.0,1781.0,844.0,2796.0,3640.0,2071.0,582.0,448.0,1086.0,1670.0,9258.0,13.0,0.4746931457729968,0.361260568793236,0.5381802538180254,0.8051656372824256,0.5395117914770376,,
2021-2022,2022,CHI,3422.0,7127.0,872.0,2364.0,2550.0,4763.0,1436.0,1766.0,711.0,2760.0,3471.0,1958.0,585.0,336.0,994.0,1540.0,9152.0,1.0,0.4801459239511716,0.3688663282571912,0.5353768633214361,0.8131370328425821,0.541321734250035,46.0,36.0
2021-2022,2022,CHO,3508.0,7497.0,1143.0,3130.0,2365.0,4367.0,1298.0,1753.0,888.0,2767.0,3655.0,2302.0,707.0,402.0,1042.0,1629.0,9457.0,6.0,0.46792050153394693,0.36517571884984024,0.5415617128463476,0.7404449515116942,0.5441509937308256,,
2021-2022,2022,CLE,3255.0,6940.0,953.0,2686.0,2302.0,4254.0,1376.0,1810.0,837.0,2786.0,3623.0,2064.0,580.0,343.0,1088.0,1433.0,8839.0,1.0,0.46902017291066284,0.35480268056589725,0.5411377527033381,0.7602209944751381,0.5376801152737752,44.0,38.0
2021-2022,2022,DAL,3222.0,6982.0,1073.0,3063.0,2149.0,3919.0,1341.0,1739.0,759.0,2769.0,3528.0,1918.0,552.0,325.0,960.0,1612.0,8858.0,10.0,0.4614723574906903,0.35031015344433564,0.5483541719826487,0.7711328349626222,0.5383128043540533,52.0,30.0
2021-2022,2022,DEN,3416.0,7079.0,1039.0,2944.0,2377.0,4135.0,1372.0,1725.0,752.0,2865.0,3617.0,2279.0,592.0,305.0,1135.0,1639.0,9243.0,19.0,0.4825540330555163,0.3529211956521739,0.5748488512696494,0.7953623188405797,0.5559401045345388,48.0,34.0
2021-2022,2022,DET,3129.0,7267.0,925.0,2838.0,2204.0,4429.0,1413.0,1806.0,900.0,2625.0,3525.0,1924.0,630.0,393.0,1098.0,1799.0,8596.0,2.0,0.4305765790560066,0.3259337561663143,0.4976292616843531,0.782392026578073,0.4942204486032751,23.0,59.0
2021-2022,2022,GSW,3323.0,7087.0,1176.0,3231.0,2147.0,3856.0,1280.0,1665.0,800.0,2930.0,3730.0,2223.0,719.0,372.0,1174.0,1723.0,9102.0,3.0,0.4688866939466629,0.36397400185701023,0.5567946058091287,0.7687687687687688,0.5518555100888951,53.0,29.0
2021-2022,2022,HOU,3229.0,7083.0,1105.0,3170.0,2124.0,3913.0,1434.0,2010.0,786.0,2660.0,3446.0,1932.0,600.0,382.0,1284.0,1692.0,8997.0,1.0,0.4558802767189044,0.34858044164037855,0.5428060311781242,0.7134328358208956,0.5338839474798814,20.0,62.0
2021-2022,2022,IND,3398.0,7338.0,997.0,2899.0,2401.0,4439.0,1347.0,1754.0,925.0,2671.0,3596.0,2081.0,582.0,457.0,1117.0,1675.0,9140.0,6.0,0.4630689561188335,0.3439116936874784,0.5408875872944356,0.7679589509692132,0.5310029980921231,25.0,57.0
2021-2022,2022,LAC,3285.0,7170.0,1047.0,2802.0,2238.0,4368.0,1273.0,1606.0,747.0,2860.0,3607.0,1969.0,608.0,406.0,1068.0,1528.0,8890.0,0.0,0.4581589958158996,0.37366167023554603,0.5123626373626373,0.7926525529265255,0.5311715481171548,42.0,40.0
2021-2022,2022,LAL,3415.0,7279.0,982.0,2826.0,2433.0,4453.0,1380.0,1884.0,782.0,2826.0,3608.0,1968.0,626.0,425.0,1139.0,1654.0,9192.0,17.0,0.46915785135320787,0.3474876150035386,0.5463732315293061,0.732484076433121,0.5366121720016486,33.0,49.0
2021-2022,2022,MEM,3571.0,7739.0,945.0,2679.0,2626.0,5060.0,1393.0,1898.0,1159.0,2873.0,4032.0,2131.0,800.0,533.0,1023.0,1620.0,9480.0,2.0,0.4614291252099754,0.3527435610302352,0.5189723320158103,0.7339304531085353,0.5224835250032304,56.0,26.0
2021-2022,2022,MIA,3246.0,6954.0,1114.0,2936.0,2132.0,4018.0,1416.0,1753.0,807.0,2778.0,3585.0,2090.0,606.0,265.0,1129.0,1679.0,9022.0,6.0,0.46678170836928384,0.37942779291553136,0.5306122448979592,0.8077581289218483,0.5468794938165085,53.0,29.0
2021-2022,2022,MIL,3429.0,7331.0,1153.0,3151.0,2276.0,4180.0,1459.0,1881.0,840.0,2990.0,3830.0,1960.0,623.0,326.0,1045.0,1494.0,9470.0,4.0,0.46773973537034513,0.365915582354808,0.5444976076555024,0.7756512493354598,0.5463783931250853,51.0,31.0
2021-2022,2022,MIN,3411.0,7458.0,1211.0,3386.0,2200.0,4072.0,1474.0,1894.0,921.0,2700.0,3621.0,2106.0,721.0,460.0,1126.0,1786.0,9507.0,1.0,0.4573612228479485,0.35764914353219135,0.5402750491159135,0.778247096092925,0.5385492089031912,46.0,36.0
2021-2022,2022,NOP,3294.0,7212.0,873.0,2629.0,2421.0,4583.0,1501.0,1903.0,981.0,2726.0,3707.0,2047.0,680.0,328.0,1089.0,1612.0,8962.0,0.0,0.456738768718802,0.33206542411563333,0.5282566004800349,0.788754598003153,0.5172628951747088,36.0,46.0
2021-2022,2022,NYK,3088.0,7069.0,1082.0,3029.0,2006.0,4040.0,1473.0,1980.0,941.0,2841.0,3782.0,1793.0,570.0,399.0,1017.0,1672.0,8731.0,4.0,0.4368368934785684,0.35721360184879497,0.49653465346534653,0.7439393939393939,0.5133682274720611,37.0,45.0
2021-2022,2022,OKC,3141.0,7310.0,991.0,3066.0,2150.0,4244.0,1233.0,1632.0,854.0,2887.0,3741.0,1822.0,622.0,380.0,1090.0,1497.0,8506.0,6.0,0.4296853625170999,0.32322243966079583,0.5065975494816211,0.7555147058823529,0.497469220246238,24.0,58.0
2021-2022,2022,ORL,3139.0,7240.0,999.0,3022.0,2140.0,4218.0,1270.0,1614.0,746.0,2885.0,3631.0,1947.0,555.0,367.0,1132.0,1612.0,8547.0,0.0,0.4335635359116022,0.33057577763070817,0.5073494547178757,0.7868649318463445,0.5025552486187845,22.0,60.0
2021-2022,2022,PHI,3230.0,6932.0,950.0,2608.0,2280.0,4324.0,1605.0,1955.0,700.0,2770.0,3470.0,1945.0,633.0,435.0,963.0,1590.0,9015.0,5.0,0.4659549913444893,0.3642638036809816,0.5272895467160037,0.8209718670076727,0.5344777841892672,51.0,31.0
2021-2022,2022,PHO,3581.0,7389.0,951.0,2616.0,2630.0,4773.0,1303.0,1635.0,801.0,2913.0,3714.0,2244.0,702.0,359.0,1012.0,1633.0,9416.0,2.0,0.48463932873189874,0.36353211009174313,0.5510161324114813,0.7969418960244649,0.5489917444850453,,
2021-2022,2022,POR,3161.0,7144.0,1043.0,3017.0,2118.0,4127.0,1346.0,1771.0,854.0,2661.0,3515.0,1880.0,657.0,366.0,1122.0,1728.0,8711.0,0.0,0.44246920492721165,0.345707656612529,0.5132057184395444,0.7600225861095427,0.5154675251959686,27.0,55.0
2021-2022,2022,SAC,3321.0,7223.0,937.0,2722.0,2384.0,4501.0,1466.0,1908.0,784.0,2737.0,3521.0,1943.0,588.0,369.0,1110.0,1552.0,9045.0,0.0,0.45978125432645717,0.34423218221895663,0.5296600755387691,0.7683438155136268,0.5246434999307766,30.0,52.0
2021-2022,2022,SAS,3546.0,7601.0,925.0,2626.0,2621.0,4975.0,1262.0,1673.0,901.0,2815.0,3716.0,2289.0,626.0,403.0,1009.0,1483.0,9279.0,13.0,0.46651756347848966,0.35224676313785225,0.5268341708542713,0.7543335325762104,0.527364820418366,34.0,48.0
2021-2022,2022,TOR,3332.0,7489.0,979.0,2808.0,2353.0,4681.0,1327.0,1749.0,1095.0,2622.0,3717.0,1809.0,738.0,376.0,955.0,1607.0,8970.0,3.0,0.4449192148484444,0.34864672364672367,0.5026703695791498,0.7587192681532304,0.5102817465616237,48.0,34.0
2021-2022,2022,UTA,3327.0,7067.0,1192.0,3308.0,2135.0,3759.0,1470.0,1916.0,884.0,2916.0,3800.0,1836.0,588.0,402.0,1079.0,1547.0,9316.0,0.0,0.470779680203764,0.3603385731559855,0.5679702048417132,0.767223382045929,0.5551153247488326,49.0,33.0
2021-2022,2022,WAS,3327.0,7056.0,860.0,2512.0,2467.0,4544.0,1393.0,1778.0,737.0,2798.0,3535.0,2052.0,522.0,406.0,1037.0,1545.0,8907.0,2.0,0.47151360544217685,0.34235668789808915,0.5429137323943662,0.7834645669291339,0.532454648526077,35.0,47.0
