Season,SeasonEndYear,Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,FG%,3P%,2P%,FT%,eFG%,WINS,LOSSES
2017-2018,2018,ATL,3130.0,7015.0,917.0,2544.0,2213.0,4471.0,1298.0,1654.0,743.0,2693.0,3436.0,1946.0,638.0,348.0,1230.0,1606.0,8475.0,0.0,0.44618674269422665,0.3604559748427673,0.49496756877656006,0.7847642079806529,0.5115466856735567,24,58
2017-2018,2018,BOS,3141.0,6975.0,939.0,2492.0,2202.0,4483.0,1308.0,1697.0,767.0,2878.0,3645.0,1842.0,604.0,373.0,1092.0,1618.0,8529.0,2.0,0.4503225806451613,0.37680577849117175,0.4911889359803703,0.7707719505008839,0.5176344086021505,55,27
2017-2018,2018,BRK,3136.0,7114.0,1041.0,2924.0,2095.0,4190.0,1428.0,1850.0,792.0,2852.0,3644.0,1941.0,512.0,390.0,1167.0,1688.0,8741.0,1.0,0.4408209165026708,0.35601915184678523,0.5,0.7718918918918919,0.5139865054821479,28,54
2017-2018,2018,CHI,3170.0,7285.0,906.0,2549.0,2264.0,4736.0,1194.0,1574.0,790.0,2873.0,3663.0,1923.0,626.0,289.0,1090.0,1571.0,8440.0,0.0,0.4351407000686342,0.355433503334641,0.4780405405405405,0.758576874205845,0.4973232669869595,27,55
2017-2018,2018,CHO,3197.0,7106.0,824.0,2233.0,2373.0,4873.0,1656.0,2216.0,827.0,2901.0,3728.0,1770.0,559.0,373.0,1011.0,1409.0,8874.0,2.0,0.4499014916971573,0.3690103000447828,0.48696901292838085,0.7472924187725631,0.5078806642274134,36,46
2017-2018,2018,CLE,3311.0,6950.0,981.0,2636.0,2330.0,4314.0,1488.0,1909.0,694.0,2761.0,3455.0,1916.0,582.0,312.0,1091.0,1524.0,9091.0,18.0,0.47640287769784173,0.37215477996965096,0.5401019935095039,0.7794656888423258,0.546978417266187,50,32
2017-2018,2018,DAL,3128.0,7042.0,967.0,2688.0,2161.0,4354.0,1167.0,1530.0,666.0,2717.0,3383.0,1858.0,578.0,310.0,964.0,1578.0,8390.0,1.0,0.44419199091167283,0.35974702380952384,0.49632521819016995,0.7627450980392156,0.5128514626526555,24,58
2017-2018,2018,DEN,3338.0,7102.0,940.0,2536.0,2398.0,4566.0,1404.0,1830.0,902.0,2748.0,3650.0,2059.0,627.0,404.0,1175.0,1533.0,9020.0,10.0,0.4700084483244157,0.37066246056782337,0.5251861585632939,0.7672131147540984,0.5361869895803999,46,36
2017-2018,2018,DET,3208.0,7129.0,886.0,2373.0,2322.0,4756.0,1207.0,1621.0,830.0,2756.0,3586.0,1868.0,628.0,317.0,1046.0,1508.0,8509.0,1.0,0.4499929863936036,0.37336704593341763,0.48822539949537425,0.744602097470697,0.5121335390657876,39,43
2017-2018,2018,GSW,3509.0,6981.0,926.0,2369.0,2583.0,4612.0,1360.0,1668.0,691.0,2877.0,3568.0,2402.0,656.0,612.0,1229.0,1607.0,9304.0,5.0,0.5026500501360837,0.39088222878851836,0.5600607111882047,0.815347721822542,0.568972926514826,58,24
2017-2018,2018,HOU,3174.0,6906.0,1256.0,3470.0,1918.0,3436.0,1609.0,2061.0,739.0,2825.0,3564.0,1767.0,699.0,392.0,1080.0,1597.0,9213.0,5.0,0.4596003475238923,0.3619596541786744,0.5582072176949942,0.7806889859291606,0.5505357660005792,65,17
2017-2018,2018,IND,3345.0,7083.0,741.0,2010.0,2604.0,5073.0,1225.0,1573.0,788.0,2684.0,3472.0,1819.0,721.0,340.0,1047.0,1544.0,8656.0,0.0,0.4722575180008471,0.3686567164179104,0.5133057362507392,0.778766687857597,0.524565861922914,48,34
2017-2018,2018,LAC,3302.0,7004.0,777.0,2196.0,2525.0,4808.0,1556.0,2095.0,832.0,2766.0,3598.0,1832.0,628.0,373.0,1154.0,1638.0,8937.0,2.0,0.4714448886350657,0.35382513661202186,0.5251663893510815,0.7427207637231503,0.5269131924614506,42,40
2017-2018,2018,LAL,3338.0,7248.0,822.0,2384.0,2516.0,4864.0,1364.0,1910.0,876.0,2927.0,3803.0,1949.0,633.0,388.0,1256.0,1736.0,8862.0,3.0,0.4605408388520971,0.3447986577181208,0.5172697368421053,0.7141361256544503,0.5172461368653422,35,47
