TEAM_ABBR,WINS,LOSSES
ATL,41,41
BKN,17,65
BOS,52,30
CHA,19,63
CHI,55,27
CLE,42,40
DAL,47,35
DEN,43,39
DET,59,23
GSW,37,45
HOU,41,41
IND,42,40
LAC,30,52
LAL,63,19
MIA,18,64
MIL,44,38
MIN,22,60
NYK,45,37
OKC,41,41
ORL,18,64
PHI,53,29
PHX,54,28
POR,59,23
SAC,23,59
SAS,56,26
UTA,55,27
WAS,31,51
