TEAM_ABBR,WINS,LOSSES
ATL,26,56
BOS,33,49
CHI,41,41
CHN,26,56
CLE,50,32
DAL,60,22
DEN,44,38
DET,64,18
GSW,34,48
HOU,34,48
IND,41,41
LAC,47,35
LAL,45,37
MEM,49,33
MIA,52,30
MIL,40,42
MIN,33,49
NJN,49,33
NOK,38,44
NYK,23,59
ORL,36,46
PHI,38,44
PHO,54,28
POR,21,61
SAC,44,38
SAS,63,19
SEA,35,47
TOR,27,55
UTA,41,41
WAS,42,40
