TEAM_ABBR,WINS,LOSSES
ATL,40,42
BKN,45,37
BOS,62,20
CHI,27,55
CLE,28,54
DAL,43,39
DEN,38,44
DET,49,33
GSW,37,45
HOU,29,53
IND,26,56
LAC,30,52
LAL,54,28
MIL,50,32
NYK,47,35
OKC,42,40
PHI,52,30
PHX,41,41
POR,48,34
SAC,38,44
SAS,37,45
UTA,45,37
WAS,35,47
