TEAM_ABBR,WINS,LOSSES
ATL,29,53
BRK,42,40
BOS,49,33
CHO,39,43
CHI,22,60
CLE,19,63
DAL,33,49
DEN,54,28
DET,41,41
GSW,57,25
HOU,53,29
IND,48,34
LAC,48,34
LAL,37,45
MEM,33,49
MIA,39,43
MIL,60,22
MIN,36,46
NOP,33,49
NYK,17,65
OKC,49,33
ORL,42,40
PHI,51,31
PHO,19,63
POR,53,29
SAC,39,43
SAS,48,34
TOR,58,24
UTA,50,32
WAS,32,50
