TEAM_ABBR,WINS,LOSSES
ATL,42,40
BKN,30,52
BOS,35,47
CHA,50,32
CHI,47,35
CLE,43,39
DAL,36,46
DEN,41,41
DET,28,54
GSW,26,56
HOU,47,35
IND,52,30
LAC,17,65
LAL,48,34
MIA,32,50
MIL,34,48
MIN,21,61
NYK,55,27
OKC,57,25
ORL,57,25
PHI,24,58
PHX,59,23
POR,44,38
SAC,39,43
SAS,62,20
UTA,60,22
WAS,21,61
