TEAM_ABBR,WINS,LOSSES
ATL,44,38
BRK,49,33
BOS,41,40
CHI,45,37
CHN,21,61
CLE,24,58
DAL,41,41
DEN,57,25
DET,29,53
GSW,47,35
HOU,45,37
IND,49,32
LAC,56,26
LAL,45,37
MEM,56,26
MIA,66,16
MIL,38,44
MIN,31,51
NOH,27,55
NYK,54,28
OKC,60,22
ORL,20,62
PHI,34,48
PHO,25,57
POR,33,49
SAC,28,54
SAS,58,24
TOR,34,48
UTA,43,39
WAS,29,53
