TEAM_ABBR,WINS,LOSSES
BAL,36,46
BOS,54,28
CHI,29,53
CIN,39,43
DET,40,42
LAL,52,30
NYK,43,39
PHI,62,20
SDR,15,67
SEA,23,59
SFW,43,39
STL,56,26
