TEAM_ABBR,WINS,LOSSES
ATL,57,25
BOS,59,23
CHI,40,42
CLE,31,51
DAL,55,27
DEN,37,45
DET,52,30
GSW,42,40
HOU,42,40
IND,41,41
LAC,12,70
LAL,65,17
MIL,50,32
NJN,24,58
NYK,24,58
PHI,45,37
PHO,36,46
POR,49,33
SAC,29,53
SAS,28,54
SEA,39,43
UTA,44,38
WAS,42,40
