TEAM_ABBR,WINS,LOSSES
ATL,35,47
BOS,56,26
BUF,42,40
CAP,47,35
CHI,54,28
CLE,29,53
DET,52,30
GSW,44,38
HOU,32,50
KCO,33,49
LAL,47,35
MIL,59,23
NYK,49,33
PHI,25,57
PHO,30,52
POR,27,55
SEA,36,46
