TEAM_ABBR,WINS,LOSSES
ATL,40,26
BOS,39,27
CHI,50,16
CHN,7,59
CLE,21,45
DAL,36,30
DEN,38,28
DET,25,41
GSW,23,43
HOU,34,32
IND,42,24
LAC,40,26
LAL,41,25
MEM,41,25
MIA,46,20
MIL,31,35
MIN,26,40
NJN,22,44
NOH,21,45
NYK,36,30
OKC,47,19
ORL,37,29
PHI,35,31
PHX,33,33
POR,28,38
SAC,22,44
SAS,50,16
TOR,23,43
UTA,36,30
WAS,20,46
