TEAM_ABBR,WINS,LOSSES
ATL,36,46
BAL,42,40
BOS,44,38
BUF,22,60
CHI,51,31
CIN,33,49
CLE,15,67
DET,45,37
LAL,48,34
MIL,66,16
NYK,52,30
PHI,47,35
PHX,48,34
POR,29,53
SDR,40,42
SEA,38,44
SFW,41,41
