TEAM_ABBR,WINS,LOSSES
ATL,25,57
BOS,36,46
CHA,46,36
CHI,15,67
CLE,30,52
DAL,53,29
DEN,40,42
DET,32,50
GSW,17,65
HOU,45,37
IND,41,41
LAC,31,51
LAL,56,26
MIA,50,32
MIL,52,30
MIN,47,35
NJN,26,56
NYK,48,34
ORL,43,39
PHI,56,26
PHX,51,31
POR,50,32
SAC,55,27
SAS,58,24
SEA,44,38
TOR,47,35
UTA,53,29
VAN,23,59
WAS,19,63
