TEAM_ABBR,WINS,LOSSES
ATL,38,44
BRK,44,38
BOS,25,57
CHI,48,34
CHN,43,39
CLE,33,49
DAL,49,33
DEN,36,46
DET,29,53
GSW,51,31
HOU,54,28
IND,56,26
LAC,57,25
LAL,27,55
MEM,50,32
MIA,54,28
MIL,15,67
MIN,40,42
NOP,34,48
NYK,37,45
OKC,59,23
ORL,23,59
PHI,19,63
PHO,48,34
POR,54,28
SAC,28,54
SAS,62,20
TOR,48,34
UTA,25,57
WAS,44,38
