TEAM_ABBR,WINS,LOSSES
ATL,33,49
BOS,49,33
CHO,44,38
CHI,21,61
CLE,29,53
DAL,57,25
DEN,27,55
DET,50,32
GSW,21,61
HOU,28,54
IND,42,40
LAC,39,43
LAL,58,24
MEM,23,59
MIA,36,46
MIL,41,41
MIN,50,32
NJN,52,30
NYK,30,52
ORL,44,38
PHI,43,39
PHO,36,46
POR,49,33
SAC,61,21
SAS,58,24
SEA,45,37
TOR,42,40
UTA,44,38
WAS,37,45
