TEAM_ABBR,WINS,LOSSES
ATL,46,36
BOS,29,53
CHI,31,51
CLE,30,52
DEN,47,35
DET,30,52
GSW,38,44
HOU,47,35
IND,38,44
KCK,48,34
LAL,47,35
MIL,38,44
NJN,37,45
NOR,26,56
NYK,31,51
PHI,47,35
PHO,50,32
POR,45,37
SAS,48,34
SDC,43,39
SEA,52,30
WAS,54,28
