TEAM_ABBR,WINS,LOSSES
ATL,36,46
BKN,32,50
BOS,64,18
CHA,21,61
CHI,39,43
CLE,48,34
DAL,50,32
DEN,57,25
DET,14,68
GSW,46,36
HOU,41,41
IND,47,35
LAC,51,31
LAL,47,35
MEM,27,55
MIA,46,36
MIL,49,33
MIN,56,26
NOP,49,33
NYK,50,32
OKC,57,25
ORL,47,35
PHI,47,35
PHX,49,33
POR,21,61
SAC,46,36
SAS,22,60
TOR,25,57
UTA,31,51
WAS,15,67
