TEAM_ABBR,WINS,LOSSES
ATL,37,45
BOS,66,16
CHI,33,49
CHN,32,50
CLE,45,37
DAL,51,31
DEN,50,32
DET,59,23
GSW,48,34
HOU,55,27
IND,36,46
LAC,23,59
LAL,57,25
MEM,22,60
MIA,15,67
MIL,26,56
MIN,22,60
NJN,34,48
NOH,56,26
NYK,23,59
ORL,52,30
PHI,40,42
PHO,55,27
POR,41,41
SAC,38,44
SAS,56,26
SEA,20,62
TOR,41,41
UTA,54,28
WAS,43,39
