TEAM_ABBR,WINS,LOSSES
ATL,52,30
BKN,26,56
BOS,42,40
CHA,20,62
CHI,47,35
CLE,57,25
DAL,38,44
DEN,44,38
DET,63,19
GSW,43,39
HOU,45,37
IND,28,54
LAC,21,61
LAL,57,25
MIA,15,67
MIL,49,33
NYK,52,30
OKC,47,35
PHI,46,36
PHX,55,27
POR,39,43
SAC,27,55
SAS,21,61
UTA,51,31
WAS,40,42
