TEAM_ABBR,WINS,LOSSES
ATL,36,46
BAL,38,44
BOS,56,26
BUF,22,60
CHI,57,25
CIN,30,52
CLE,23,59
DET,26,56
GSW,51,31
HOU,34,48
LAL,69,13
MIL,63,19
NYK,48,34
PHI,30,52
PHO,49,33
POR,18,64
SEA,47,35
