TEAM_ABBR,WINS,LOSSES
ATL,13,69
BOS,45,37
CHI,47,35
CHN,18,64
CLE,42,40
DAL,58,24
DEN,49,33
DET,54,28
GSW,34,48
HOU,51,31
IND,44,38
LAC,37,45
LAL,34,48
MEM,45,37
MIA,59,23
MIL,30,52
MIN,44,38
NJN,42,40
NOH,18,64
NYK,33,49
ORL,36,46
PHI,43,39
PHO,62,20
POR,27,55
SAC,50,32
SAS,59,23
SEA,52,30
TOR,33,49
UTA,26,56
WAS,45,37
