TEAM_ABBR,WINS,LOSSES
ATL,56,26
BOS,15,67
CHO,54,28
CHI,69,13
CLE,42,40
DAL,24,58
DEN,21,61
DET,54,28
GSW,30,52
HOU,57,25
IND,39,43
LAC,36,46
LAL,56,26
MIA,61,21
MIL,33,49
MIN,40,42
NJN,26,56
NYK,57,25
ORL,45,37
PHI,22,60
PHO,40,42
POR,49,33
SAC,34,48
SAS,20,62
SEA,57,25
TOR,30,52
UTA,64,18
VAN,14,68
WAS,44,38
