TEAM_ABBR,WINS,LOSSES
ATL,43,39
BOS,48,34
CHA,44,38
CHI,57,25
CLE,54,28
DAL,11,71
DEN,36,46
DET,40,42
GSW,34,48
HOU,55,27
IND,41,41
LAC,41,41
LAL,39,43
MIA,36,46
MIL,28,54
MIN,19,63
NJN,43,39
NYK,60,22
ORL,41,41
PHI,26,56
PHX,62,20
POR,51,31
SAC,25,57
SAS,49,33
SEA,55,27
UTA,47,35
WAS,22,60
