TEAM_ABBR,WINS,LOSSES
ATL,41,31
BRK,48,24
BOS,36,36
CHO,33,39
CHI,31,41
CLE,22,50
DAL,42,30
DEN,47,25
DET,20,52
GSW,39,33
HOU,17,55
IND,34,38
LAC,47,25
LAL,42,30
MEM,38,34
MIA,40,32
MIL,46,26
MIN,23,49
NOP,31,41
NYK,41,31
OKC,22,50
ORL,21,51
PHI,49,23
PHO,51,21
POR,42,30
SAC,31,41
SAS,33,39
TOR,27,45
UTA,52,20
WAS,34,38
