TEAM_ABBR,WINS,LOSSES
ATL,40,42
BRK,26,56
BOS,61,21
CHO,19,63
CHI,39,43
CLE,64,18
DAL,39,43
DEN,50,32
DET,44,38
GSW,48,34
HOU,52,30
IND,50,32
LAC,50,32
LAL,50,32
MEM,48,34
MIA,37,45
MIL,48,34
MIN,49,33
NOP,21,61
NYK,51,31
OKC,68,14
ORL,41,41
PHI,24,58
PHO,36,46
POR,36,46
SAC,40,42
SAS,34,48
TOR,30,52
UTA,17,65
WAS,18,64
