Age,PTS
18.0,309.0
19.0,64649.0
20.0,185219.0
21.0,290176.0
22.0,388795.0
23.0,466578.0
24.0,504579.0
25.0,502126.0
26.0,477441.0
27.0,458028.0
28.0,420041.0
29.0,352795.0
30.0,298364.0
31.0,242597.0
32.0,199253.0
33.0,140815.0
34.0,102075.0
35.0,71612.0
36.0,49529.0
37.0,27496.0
38.0,15076.0
39.0,9204.0
40.0,4040.0
41.0,463.0
42.0,692.0
43.0,298.0
44.0,12.0
