Seasons_Played,PTS
1,82.02608695652174
2,119.46987951807229
3,165.85604395604395
4,257.5693730729702
5,332.1410090556274
6,379.9364731653888
7,415.1007194244604
8,464.6554455445545
9,505.7684210526316
10,554.9276018099547
11,562.1283783783783
12,703.5352112676056
13,684.5495867768595
14,623.0423892100192
15,780.5481727574751
16,796.296178343949
17,909.5804878048781
18,925.1770833333334
19,616.271186440678
20,1150.55
21,1930.0
