Age,PTS_per_game
18.0,3.2936956521739136
19.0,6.980634851403627
20.0,7.3497469256150785
21.0,7.5970163747788915
22.0,7.257402607287721
23.0,7.2533127530614205
24.0,7.356515785334403
25.0,8.384110057967952
26.0,9.10207661204855
27.0,9.199139025071538
28.0,9.619345025314527
29.0,9.496175666049421
30.0,8.704829239542724
31.0,8.503101282683009
32.0,8.355415467953579
33.0,7.813698816197898
34.0,7.832074012133214
35.0,7.045959704537693
36.0,6.85318668559343
37.0,6.135791687086281
38.0,5.910522416751651
39.0,6.128474670971513
40.0,6.427897936994049
41.0,3.6279104037724728
42.0,4.007414369256474
43.0,4.966666666666667
44.0,2.4
