Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
151,Julian Champagnie,24,SAS,SF,14,9,381,42,100,.420,29,77,.377,13,23,.565,.565,23,30,.767,11,50,61,16,15,4,18,16,136,0,,champju02
152,Noah Clowney,21,BRK,PF,14,8,348,38,106,.358,25,78,.321,13,28,.464,.476,35,48,.729,10,42,52,23,9,6,21,29,136,0,,clownno01
153,De'Aaron Fox,28,SAS,PG,6,6,204,53,104,.510,15,40,.375,38,64,.594,.582,15,17,.882,7,12,19,37,7,2,22,16,136,0,,foxde01
154,Derrick Jones Jr.,28,LAC,SF,13,13,324,49,92,.533,16,46,.348,33,46,.717,.620,22,28,.786,11,20,31,14,11,15,10,26,136,0,,jonesde02
155,Herbert Jones,27,NOP,SF,14,14,423,49,123,.398,23,62,.371,26,61,.426,.492,15,21,.714,12,37,49,32,19,3,25,48,136,0,,joneshe01
156,Svi Mykhailiuk,28,UTA,SF,14,14,378,51,105,.486,29,75,.387,22,30,.733,.624,5,6,.833,10,26,36,28,7,3,10,20,136,0,,mykhasv01
157,Neemias Queta,26,BOS,C,15,15,367,60,98,.612,0,3,.000,60,95,.632,.612,16,27,.593,46,75,121,26,11,22,13,49,136,0,,quetane01
158,Dyson Daniels,22,ATL,SG,15,15,497,59,122,.484,3,13,.231,56,109,.514,.496,13,21,.619,27,62,89,87,35,7,32,37,134,0,,daniedy01
159,Jalen Smith,25,CHI,C,13,0,208,49,100,.490,22,55,.400,27,45,.600,.600,13,19,.684,26,56,82,18,4,4,13,27,133,0,,smithja04
160,Isaiah Stewart,24,DET,C,12,5,276,49,99,.495,14,36,.389,35,63,.556,.566,21,28,.750,26,52,78,18,2,24,14,37,133,0,,stewais01
161,Aaron Wiggins,27,OKC,SG,9,5,248,51,111,.459,25,60,.417,26,51,.510,.572,6,9,.667,9,24,33,20,4,7,9,20,133,0,,wiggiaa01
162,Terance Mann,29,BRK,SG,14,14,380,49,105,.467,15,42,.357,34,63,.540,.538,19,23,.826,21,23,44,48,11,3,12,45,132,0,,mannte01
163,Klay Thompson,35,DAL,SF,14,7,298,47,139,.338,32,103,.311,15,36,.417,.453,6,6,1.000,3,33,36,25,5,5,16,10,132,0,,thompkl01
164,Ryan Dunn,23,PHO,SF,15,10,361,53,110,.482,15,45,.333,38,65,.585,.550,9,13,.692,29,45,74,29,20,10,15,38,130,0,,dunnry01
165,Landry Shamet,28,NYK,SG,13,4,288,39,87,.448,26,63,.413,13,24,.542,.598,26,31,.839,6,21,27,15,5,2,6,17,130,0,,shamela01
166,Ron Holland,20,DET,SF,15,5,358,48,122,.393,14,48,.292,34,74,.459,.451,19,22,.864,13,45,58,27,25,5,27,43,129,0,,hollaro01
167,Ryan Kalkbrenner,24,CHO,C,13,13,346,56,69,.812,0,1,.000,56,68,.824,.812,17,21,.810,42,50,92,5,12,29,22,28,129,0,,kalkbry01
168,Will Richard,23,GSW,SG,14,5,252,45,78,.577,19,45,.422,26,33,.788,.699,19,25,.760,16,16,32,19,15,1,11,31,128,0,,richawi02
169,Tari Eason,24,HOU,PF,11,1,255,47,95,.495,27,53,.509,20,42,.476,.637,5,7,.714,16,41,57,18,9,5,19,18,126,0,,easonta01
