iteration,feature_method,n_features,feature_cols,model_type,model_params,preprocessor,val_exact,val_within1,test_exact,test_within1,test_overall
3,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",standard,0.1,0.24444444444444444,0.3,0.6,0.51
4,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 200}",minmax,0.044444444444444446,0.08888888888888889,0.06666666666666667,0.18333333333333335,0.14833333333333332
5,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",xgb,"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 100}",minmax,0.05555555555555555,0.12222222222222222,0.7833333333333333,0.8333333333333334,0.8183333333333334
6,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 50}",standard,0.05555555555555555,0.1111111111111111,0.43333333333333335,0.5666666666666667,0.5266666666666666
8,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 10, ""n_estimators"": 50}",minmax,0.1,0.16666666666666666,0.08333333333333334,0.18333333333333335,0.15333333333333332
10,trend_only,4,"PREV_WIN_PCT,WIN_PCT_3Y_AVG,WIN_PCT_5Y_AVG,WIN_PCT_TREND",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 200}",standard,0.05555555555555555,0.16666666666666666,0.7833333333333333,0.8333333333333334,0.8183333333333334
14,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200}",robust,0.4666666666666667,0.7333333333333333,0.1,0.26666666666666666,0.21666666666666667
16,basic,13,"PTS,FGA,FTA,TRB,AST,STL,BLK,TOV,PF,TS_PCT,EFG_PCT,AST_TO_RATIO,PREV_WIN_PCT",lgb,"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 100}",standard,0.044444444444444446,0.2111111111111111,0.05,0.25,0.18999999999999997
17,advanced,12,"PREV_WIN_PCT,EFG_FACTOR,TOV_FACTOR,OREB_FACTOR,FTR_FACTOR,WIN_PCT_3Y_AVG,WIN_PCT_TREND,PTS_3Y_AVG,AST_3Y_AVG,TRB_3Y_AVG,STL_3Y_AVG,BLK_3Y_AVG",lgb,"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 50}",minmax,0.044444444444444446,0.1,0.48333333333333334,0.6833333333333333,0.6233333333333333
18,stats_only,18,"FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PREV_WIN_PCT",xgb,"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",robust,0.022222222222222223,0.1111111111111111,0.08333333333333334,0.18333333333333335,0.15333333333333332
